,placeCodeParent,placeCode,name
0,ZM7004,080510702,Kashima East
1,ZM8011,091113305,Tekelo
2,ZM1001,010100316,Chikobo
3,ZM8011,091113304,Muuka
4,ZM8011,091113303,Mweenda
5,ZM4005,040506421,Nkanga
6,ZM4005,040506420,Luche
7,ZM2009,020902708,Bwembya Silwizya
8,ZM8002,090211814,Lukonde
9,ZM2009,020902621,John Kampengele
10,ZM2009,020902628,Mpelembe
11,ZM2009,020902817,Kansuswa
12,ZM2010,021003606,Kansenshi
13,ZM8002,090211811,Chaamwe
14,ZM8002,090211809,Kkole
15,ZM4005,040506307,Mpasa
16,ZM4005,040506416,Katiti
17,ZM4005,040506314,Kalanga
18,ZM4005,040506311,Mambilima
19,ZM8002,090211806,Siampande
20,ZM4005,040506309,Musonda
21,ZM2005,020502405,Chifulube
22,ZM4005,040506310,Lundashi
23,ZM4006,040606603,Munkombwe
24,ZM4006,040606601,Kabuta
25,ZM4006,040606605,Kashikishi
26,ZM4006,040606606,Nchelenge
27,ZM4006,040606609,Kasamba
28,ZM4006,040606608,Chisenga
29,ZM4006,040606607,Chilongo
30,ZM4006,040606613,Katofyo
31,ZM8002,090211804,Kkoma
32,ZM8002,090211802,Sinafala
33,ZM8002,090211803,Jumbo
34,ZM4007,040706713,Katanshya
35,ZM4007,040706711,Chimana
36,ZM8004,090412015,Nachikungu
37,ZM8004,090412012,Simayakwe
38,ZM8005,090512108,Mandia
39,ZM2010,021003610,Kanini
40,ZM8009,090913113,Itapa
41,ZM2010,021003404,Chifubu
42,ZM8005,090512109,Sekute
43,ZM2010,021003405,Kamba
44,ZM2010,021003403,Fibobe
45,ZM2010,021003402,Kawama
46,ZM8008,090812702,Kaila
47,ZM8009,090913104,Maala
48,ZM8001,090111606,Kabimba
49,ZM2010,021003518,Lubuto
50,ZM2010,021003519,Mukuba
51,ZM8009,090913107,Chitongo
52,ZM2010,021003523,Kafubu
53,ZM4007,040706720,Musaba
54,ZM2010,021003522,Kabushi
55,ZM2010,021003520,Toka
56,ZM8005,090512111,Simango
57,ZM8006,090512112,Musokotwane
58,ZM7004,080510714,Kaminzekenzeke
59,ZM7002,080310512,Litoya
60,ZM2010,021003521,Kaloko
61,ZM2010,021003311,Itawa
62,ZM7002,080310516,Luli
63,ZM7002,080310519,Chikenge
64,ZM60,ZM6002,Lunte District
65,ZM4009,040706808,Chisi
66,ZM4001,040106505,Chiengi
67,ZM2010,021003314,Kavu
68,ZM4001,040106508,Chipamba
69,ZM8012,090111714,Nachibanga
70,ZM2010,021003628,Kaniki
71,ZM4009,040706803,Kasaba
72,ZM4009,040706802,Kasansa
73,ZM7002,080310513,Kamisombo
74,ZM8005,090512105,Nyawa
75,ZM8006,090612311,Lizuma
76,ZM8006,090612313,Dambwa Central
77,ZM8006,090612306,Libuyu
78,ZM,ZM20,Copperbelt
79,ZM80,ZM8002,Gwembe
80,ZM80,ZM8004,Kalomo
81,ZM80,ZM8010,Siavonga
82,ZM50,ZM5003,Luangwa
83,ZM4004,040406009,Chipundu
84,ZM2010,021003626,Twapia
85,ZM4004,040406004,Lusubwe
86,ZM4012,040205718,Mwansabombwe
87,ZM8006,090612309,Maramba
88,ZM4004,040406003,Itembo
89,ZM4004,040406013,Mikula
90,ZM4004,040406006,Nsaka
91,ZM8006,090612315,Kariba
92,ZM8006,090612302,Musi o Tunya
93,ZM90,ZM9004,Mongu
94,ZM4004,040406005,Milambo
95,ZM8007,090712509,Nkonkola
96,ZM4004,040406008,Nsunga
97,ZM4004,040406011,Mumbotuta
98,ZM4006,040205722,Mbereshi
99,ZM,ZM50,Lusaka
100,ZM4004,040406012,Kapalala
101,ZM,ZM10,Central
102,ZM,ZM40,Luapula
103,ZM,ZM90,Western
104,ZM4004,040406010,Sokontwe
105,ZM,ZM30,Eastern
106,ZM,ZM11,Muchinga
107,ZM80,ZM8006,Livingstone
108,ZM80,ZM8008,Monze
109,ZM80,ZM8009,Namwala
110,ZM,ZM60,Northern
111,ZM,ZM70,Northwestern
112,ZM80,ZM8001,Choma
113,ZM30,ZM3001,Chadiza
114,ZM,ZM80,Southern
115,ZM80,ZM8011,Sinazongwe
116,ZM80,ZM8005,Kazungula
117,ZM70,ZM7003,Kasempa
118,ZM4012,040205715,Mununshi
119,ZM4012,040205721,Kayo
120,ZM90,ZM9010,Mulobezi
121,ZM30,ZM3008,Petauke
122,ZM70,ZM7001,Chavuma
123,ZM40,ZM4001,Chiengi
124,ZM4012,040205720,Chipita
125,ZM8006,090612303,Dr Mubitana
126,ZM90,ZM9005,Senanga
127,ZM30,ZM3004,Katete
128,ZM30,ZM3010,Kasenengwa
129,ZM7003,080410622,Jifumpa
130,ZM4012,040205717,Lufubu
131,ZM50,ZM5007,Rufunsa
132,ZM30,ZM3006,Mambwe
133,ZM40,ZM4004,Milengi
134,ZM7003,080410614,Mutenda
135,ZM7003,080410606,Kamatete
136,ZM3001,030103701,Mangwe
137,ZM3001,030103705,Kapachi
138,ZM3009,030204116,Kasenga
139,ZM3003,030204404,Chikando
140,ZM8004,090412216,Chidi
141,ZM10,ZM1002,Kabwe
142,ZM20,ZM2003,Kalulushi
143,ZM40,ZM4003,Mansa
144,ZM11,ZM1111,Nakonde
145,ZM7003,080410610,Kamusongolwa
146,ZM7003,080410616,Mpungu
147,ZM3001,030103709,Chamandala
148,ZM3009,030204114,Nthope
149,ZM8006,090612317,Shungu
150,ZM30,ZM3007,Nyimba
151,ZM20,ZM2004,Kitwe
152,ZM60,ZM6001,Chilubi
153,ZM40,ZM4006,Nchelenge
154,ZM40,ZM4008,Chembe
155,ZM30,ZM3013,Vubwi
156,ZM4012,040205716,Mulele
157,ZM10,ZM1009,Itezhi-tezhi
158,ZM20,ZM2009,Mufulira
159,ZM40,ZM4007,Samfya
160,ZM60,ZM6009,Mporokoso
161,ZM10,ZM1007,Chisamba
162,ZM40,ZM4011,Lunga
163,ZM4005,040506422,Kaombe
164,ZM10,ZM1010,Luano
165,ZM10,ZM1008,Chitambo
166,ZM7003,080410601,Kamakoko
167,ZM7003,080410618,Kelongwa
168,ZM20,ZM2008,Mpongwe
169,ZM11,ZM1112,Chama
170,ZM7003,080410604,Kaimbwe
171,ZM30,ZM3011,Lumezi
172,ZM11,ZM1119,Shiwamg'andu
173,ZM3001,030103813,Ambidzi
174,ZM3001,030103706,Chadiza
175,ZM3009,030204113,Sisinje
