,placeCodeParent,placeCode,name
258,ZM4005,ZM040506313,Nsomfi
259,ZM4006,ZM040606602,Mwatishi
260,ZM4004,ZM040406001,Chiswishi
261,ZM4012,ZM040205719,Kakose
262,ZM8005,ZM090512103,Nguba
263,ZM8005,ZM090512101,Moomba
264,ZM70,ZMZM7004,Mufumbwe
265,ZM30,ZMZM3012,Sinda
266,ZM8013,ZM090412222,Mbwiko
267,ZM8011,ZM091113302,Namazambwe
268,ZM8011,ZM091113309,Mweezya
269,ZM8011,ZM091113301,Mabinga
270,ZM4005,ZM040506312,Munwa
271,ZM11,ZMZM1113,Isoka
272,ZM90,ZMZM9002,Kaoma
273,ZM60,ZMZM6003,Lupososhi
274,ZM7003,ZM080510708,Kikonge
275,ZM7004,ZM080510712,Mushima
276,ZM7002,ZM080310510,Kamafwafwa
277,ZM40,ZMZM4010,Chipili
278,ZM80,ZMZM8007,Mazabuka
279,ZM40,ZMZM4009,Chifunabuli
280,ZM7004,ZM080510705,Kalambu
281,ZM7004,ZM080510713,Musonweji
282,ZM7010,ZM080310522,Chikonkwelo
283,ZM7003,ZM080410617,Nyoka
284,ZM7003,ZM080410609,Kalombe
285,ZM7003,ZM080410620,Kanongo
286,ZM3001,ZM030103708,Naviruli
287,ZM90,ZMZM9016,Sioma
288,ZM11,ZMZM1118,Mpika
289,ZM8013,ZM090412221,Siamafumba
290,ZM10,ZMZM1003,Kapiri Mposhi
291,ZM30,ZMZM3003,Chipata
292,ZM7004,ZM080510706,Chizera
293,ZM2005,ZM020502519,Chilabula
294,ZM50,ZMZM5005,Chilanga
295,ZM30,ZMZM3009,Chipangali
296,ZM7004,ZM080510707,Shukwe
297,ZM7004,ZM080510716,Miluji
298,ZM7002,ZM080310511,Kabompo
299,ZM7003,ZM080410621,Kamankechi
300,ZM7003,ZM080410607,Dengwe
301,ZM3001,ZM030103712,Tafelansoni
302,ZM3003,ZM030204220,Kanjala
303,ZM3010,ZM030204307,Chingazi
304,ZM8013,ZM090412220,Zimba
305,ZM8013,ZM090412218,Simwatachela
306,ZM8010,ZM091013208,Kariba
307,ZM8011,ZM091113312,Nangombe
308,ZM2007,ZM020702904,Mutaba
309,ZM11,ZMZM1117,Lavushimanda
310,ZM30,ZMZM3002,Chasefu
311,ZM7004,ZM080510710,Kalengwa
312,ZM7002,ZM080310520,Lunyiwe
313,ZM7002,ZM080310515,Mumbeji
314,ZM7003,ZM080410613,Mukinge
315,ZM7003,ZM080410602,Mbelauke
316,ZM3001,ZM030103815,Khumba
317,ZM3003,ZM030103703,Manje
318,ZM8010,ZM091013210,Mulima
319,ZM60,ZMZM6007,Mbala
320,ZM7004,ZM080510704,Kamabuta
321,ZM7004,ZM080510709,Munyambala
322,ZM7002,ZM080310518,Maveve
323,ZM7003,ZM080410619,Mukunashi
324,ZM7003,ZM080410608,Njenga
325,ZM7003,ZM080410605,Mukema
326,ZM3001,ZM030103707,Chilenga
327,ZM8011,ZM091113314,Malima
328,ZM60,ZMZM6012,Senga Hill
329,ZM7004,ZM080510701,Kashima West
330,ZM7002,ZM080310521,Kayombo
331,ZM7002,ZM080310517,Katuva
332,ZM7003,ZM080410612,Nkenyauna
333,ZM7003,ZM080410603,Ingwe
334,ZM30,ZMZM3005,Lundazi
335,ZM7004,ZM080510703,Matushi
336,ZM7004,ZM080510711,Kabi Pupu
337,ZM7002,ZM080310514,Kabulamema
338,ZM7003,ZM080410611,Kikonkomeme
339,ZM7003,ZM080410615,Lubofu
340,ZM3001,ZM030103816,Mwangazi
341,ZM3001,ZM030103704,Chanjowe
342,ZM3009,ZM030204117,Rukuzye
343,ZM3003,ZM030204403,Makangila
344,ZM8013,ZM090412217,Mulamfu
345,ZM8011,ZM091113311,Sinazongwe
346,ZM8011,ZM091113307,Muchekwa
347,ZM4005,ZM040506418,Kapela
348,ZM4005,ZM040506417,Chachacha
349,ZM4001,ZM040106513,Mununga
350,ZM4006,ZM040606612,Mofwe
351,ZM4002,ZM040606610,Mulwe
352,ZM4006,ZM040606611,Shabo
353,ZM4004,ZM040406007,Fibalala
354,ZM40,ZMZM4002,Kawambwa
355,ZM20,ZMZM2010,Ndola
356,ZM90,ZMZM9015,Sikongo
357,ZM7004,ZM080510715,Lalafuta
358,ZM8005,ZM090512102,Chooma
359,ZM8006,ZM090612301,Freedom
360,ZM8006,ZM090612304,Namatama
361,ZM8002,ZM090211810,Bbondo
362,ZM4007,ZM040706716,Isamba
363,ZM8004,ZM090412010,Mayoba
364,ZM8009,ZM090913108,Mandondo
365,ZM8009,ZM090913102,Ngabo
366,ZM4001,ZM040106501,Lunchinda
367,ZM4001,ZM040106509,Kalobwa
368,ZM8007,ZM090712621,Lubombo
369,ZM8008,ZM090812706,Hamangaba
370,ZM8008,ZM090812707,Choongo East
371,ZM8008,ZM090812808,Chipembele
372,ZM4003,ZM040305905,Chibeleka
373,ZM4010,ZM040506202,Mweshi
374,ZM4002,ZM040205605,Kawambwa
375,ZM8003,ZM090712404,Nansenga
376,ZM8001,ZM090111603,Mangunza
377,ZM8001,ZM090111526,Siasikabole
378,ZM8005,ZM090512107,Sikaunzwe
379,ZM8006,ZM090612305,Kasiya
380,ZM8006,ZM090612307,Mwalibonena
381,ZM8002,ZM090211812,Fumbo
382,ZM4007,ZM040706712,Mano
383,ZM4009,ZM040706809,Chifunauli
384,ZM6001,ZM040706804,Kapamba
385,ZM8004,ZM090411906,Naluja
386,ZM8009,ZM090913112,Namakube
387,ZM8009,ZM090913105,Kantengwa
388,ZM4001,ZM040106504,Lambwe Chomba
389,ZM8012,ZM090111710,Hamaundu
390,ZM8007,ZM090712515,Munenga
391,ZM8007,ZM090712618,Mazabuka Central
392,ZM8008,ZM090812813,Hufwa / Hamapande
393,ZM8008,ZM090812919,Mwanza West
394,ZM4003,ZM040305901,Mutuna
395,ZM4003,ZM040406002,Mulumbi
396,ZM4010,ZM040506206,Nkonge
397,ZM8005,ZM090512114,Mukuni
398,ZM8005,ZM090612312,Simonga
399,ZM8006,ZM090612308,Mulungushi
400,ZM8002,ZM090211808,Luumbo
401,ZM4007,ZM040706717,Kapata
402,ZM8004,ZM090412007,Siachitema
403,ZM8004,ZM090411902,Chamuka
404,ZM8009,ZM090913103,Baambwe
405,ZM4001,ZM040106502,Chipungu
406,ZM4001,ZM040106510,Chitutu
407,ZM8007,ZM090712510,Chivuna
408,ZM8007,ZM090712620,Chizobo
409,ZM8008,ZM090812701,Malundu
410,ZM8008,ZM090812816,Hantotola
411,ZM4011,ZM040706915,Lunga
412,ZM4003,ZM040306110,Mansa
413,ZM4010,ZM040506205,Nalupembe
414,ZM4002,ZM040205808,Ilombe
415,ZM8003,ZM090712408,Upper Kaleya
416,ZM8005,ZM090512110,Kanchele
417,ZM8006,ZM090612316,Nansanzu
418,ZM8011,ZM090211801,Chisanga
419,ZM8002,ZM090211805,Chibuwe
420,ZM4007,ZM040706721,Kapilibila
421,ZM4009,ZM040706801,Masonde
422,ZM8004,ZM090412008,Kalonda
423,ZM8004,ZM090411903,Kasukwe
424,ZM8009,ZM090913110,Mbeza
425,ZM4001,ZM040106503,Luau
426,ZM8012,ZM090111713,Habunkululu
427,ZM8007,ZM090712513,Ngwezi
428,ZM8007,ZM090712622,Nega Nega
429,ZM8008,ZM090812818,Monze Urban
430,ZM8008,ZM090812921,Mwanza East
431,ZM4003,ZM040305902,Misakalala
432,ZM4003,ZM040306108,Muchinka
433,ZM4002,ZM040205606,Ngona
434,ZM8003,ZM090712407,Mabwetuba
435,ZM8001,ZM090111520,Moomba
436,ZM8001,ZM090111518,Stateland
437,ZM8005,ZM090512113,Katapazi
438,ZM8006,ZM090612314,Zambezi
439,ZM8006,ZM090612310,Akapelwa
440,ZM8002,ZM090211807,Kota Kota
441,ZM4009,ZM040706810,Mbabala
442,ZM4009,ZM040706807,Chinkutila
443,ZM8004,ZM090412011,Namwianga
444,ZM8004,ZM090411905,Bbilili
445,ZM8009,ZM090913109,Nakamboma
446,ZM4001,ZM040106507,Ifuna
447,ZM8012,ZM090111711,Maambo
448,ZM8007,ZM090712511,Musuma
449,ZM8008,ZM090812703,Keemba
450,ZM8008,ZM090812815,Katimba
451,ZM4011,ZM040706914,Nkutila
452,ZM4003,ZM040306111,Chansunsu
453,ZM4010,ZM040506203,Mumbwe
454,ZM4002,ZM040205604,Nthumbachushi
455,ZM8003,ZM090712402,Namalundu
456,ZM8001,ZM090111604,Chilalantambo
457,ZM8001,ZM090111519,Nakeempa
458,ZM4007,ZM040706722,Lumamya
459,ZM4009,ZM040706806,Kafumbo
460,ZM8004,ZM090412009,Choonga
461,ZM8004,ZM090411904,Omba
462,ZM8009,ZM090913106,Kabulamwanda
463,ZM4001,ZM040106506,Katete
464,ZM8012,ZM090111712,Kauba
465,ZM8007,ZM090712512,Munjile
466,ZM8007,ZM090712619,Nakambala
467,ZM8008,ZM090812810,Manungu
468,ZM8008,ZM090812811,Chisekesi
469,ZM4003,ZM040305906,Lukangaba
470,ZM4003,ZM040305907,Muleshi
471,ZM4002,ZM040205603,Luela
472,ZM8003,ZM090712401,Kasengo
473,ZM8001,ZM090111607,Mbabala
474,ZM8001,ZM090111521,Kulundana
475,ZM9015,ZM100113626,Mutala
476,ZM9011,ZM100614913,Lwazamba
477,ZM9013,ZM100514504,Makoka
478,ZM9004,ZM100414409,Lui
479,ZM4009,ZM040706805,Kasongole
480,ZM8004,ZM090411901,Chikanta
481,ZM8013,ZM090412014,Sipatunyana
482,ZM8009,ZM090913111,Ndema
483,ZM4008,ZM040306116,Lukola
484,ZM4001,ZM040106511,Munwa
485,ZM8007,ZM090712517,Itebe
486,ZM8008,ZM090812922,Moomba
487,ZM8008,ZM090812817,Bbombo
488,ZM4011,ZM040706919,Nsalushi
489,ZM4003,ZM040306112,Myulu
490,ZM4002,ZM040205601,Senga
491,ZM4002,ZM040205810,Chibote
492,ZM8001,ZM090111601,Simaubi
493,ZM8001,ZM090111527,Namuswa
494,ZM9015,ZM100113618,Lueti
495,ZM9011,ZM100614907,Magumwi
496,ZM9004,ZM100414412,Namengo
497,ZM9006,ZM100414328,Kaande
498,ZM2007,ZM020702906,Katonte
499,ZM8004,ZM090412013,Chawila
500,ZM8009,ZM090913114,Moobola
501,ZM4008,ZM040306115,Luapula
502,ZM4001,ZM040106512,Kalungwishi
503,ZM8007,ZM090712514,Kalama
504,ZM8008,ZM090812809,Ufwenuka
505,ZM8008,ZM090812704,Choongo West
506,ZM8008,ZM090812920,Chona
507,ZM4003,ZM040305904,Mushipashi
508,ZM4003,ZM040306114,Lwingishi
509,ZM4010,ZM040506204,Chibalashi
510,ZM4002,ZM040205802,Kabanse
511,ZM8003,ZM090712403,Musaya
512,ZM8001,ZM090111602,Mapanza
513,ZM8001,ZM090111525,Singani
514,ZM9015,ZM100113621,Maala
515,ZM9013,ZM100514502,Silowana
516,ZM9004,ZM100414414,Mbekise
517,ZM8012,ZM090111708,Kasiya
518,ZM8007,ZM090712516,Mwanachingwala
519,ZM8008,ZM090111709,Pemba
520,ZM8008,ZM090812812,Mayaba
521,ZM8008,ZM090812705,Bweengwa
522,ZM4003,ZM040305903,Kaole
523,ZM4010,ZM040506201,Nsenga
524,ZM4002,ZM040205614,Iyanga
525,ZM4002,ZM040205813,Pambashe
526,ZM8003,ZM090712405,Chitete
527,ZM8001,ZM090111517,Simamvwa
528,ZM9015,ZM100113623,Licha
529,ZM9011,ZM100614908,Sankolonga
530,ZM9011,ZM100614909,Mabumbu
531,ZM9004,ZM100414415,Nakato
532,ZM9004,ZM100414320,Katongo
533,ZM5003,ZM050307105,Mphuka
534,ZM1111,ZM060608713,Mukulika
535,ZM8008,ZM090812814,Hamamvwa
536,ZM1117,ZM040706918,Ncheta
537,ZM4003,ZM040306113,Katangashi
538,ZM4002,ZM040205812,Luongo
539,ZM4002,ZM040205809,Mulunda
540,ZM8003,ZM090712406,Malala
541,ZM8011,ZM090111516,Sikalongo
542,ZM9011,ZM100615015,Maondo
543,ZM9011,ZM100614910,Mwandi
544,ZM9004,ZM100414317,Yeta
545,ZM9004,ZM100414321,Kanyonyo
546,ZM9010,ZM100614806,Machile
547,ZM5003,ZM050307107,Kapoche
548,ZM9012,ZM100615017,Lusu
