,adminLevel,placeCode,name,placeCodeParent,geom,geometry,properties
0,3,ET070911,Bonga town,ET0709,"{'type': 'MultiPolygon', 'coordinates': [[[[36.2475331270001, 7.24322507000005], [36.2496212030001, 7.26871535100003], [36.2250508920001, 7.27632914300006], [36.2475331270001, 7.24322507000005]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[36.2475331270001, 7.24322507000005], [36.2496212030001, 7.26871535100003], [36.2250508920001, 7.27632914300006], [36.2475331270001, 7.24322507000005]]]]}","{'placeCode': 'ET070911', 'placeCodeParent': 'ET0709', 'name': 'Bonga town', 'adminLevel': 3}"
1,3,ET030423,Wereilu town,ET0304,"{'type': 'MultiPolygon', 'coordinates': [[[[39.4295335730001, 10.600857461], [39.4403937590001, 10.581083587], [39.445830201, 10.601173681], [39.4295335730001, 10.600857461]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[39.4295335730001, 10.600857461], [39.4403937590001, 10.581083587], [39.445830201, 10.601173681], [39.4295335730001, 10.600857461]]]]}","{'placeCode': 'ET030423', 'placeCodeParent': 'ET0304', 'name': 'Wereilu town', 'adminLevel': 3}"
2,3,ET160010,Boricha,ET1600,"{'type': 'MultiPolygon', 'coordinates': [[[[38.2688404410001, 6.89169885500007], [38.3180438650001, 6.87816631600003], [38.354993144, 6.85109412500003], [38.3797567010001, 6.87168768000004], [38.395700805, 6.94089422100006], [38.30209569, 6.98181311400003], [38.2688404410001, 6.89169885500007]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[38.2688404410001, 6.89169885500007], [38.3180438650001, 6.87816631600003], [38.354993144, 6.85109412500003], [38.3797567010001, 6.87168768000004], [38.395700805, 6.94089422100006], [38.30209569, 6.98181311400003], [38.2688404410001, 6.89169885500007]]]]}","{'placeCode': 'ET160010', 'placeCodeParent': 'ET1600', 'name': 'Boricha', 'adminLevel': 3}"
3,3,ET030309,Woldiya town,ET0303,"{'type': 'MultiPolygon', 'coordinates': [[[[39.6395750830001, 11.875183082], [39.576846732, 11.867779184], [39.554820675, 11.825650485], [39.5631158800001, 11.7781491390001], [39.62914017, 11.769584664], [39.6072865410001, 11.827050473], [39.6395750830001, 11.875183082]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[39.6395750830001, 11.875183082], [39.576846732, 11.867779184], [39.554820675, 11.825650485], [39.5631158800001, 11.7781491390001], [39.62914017, 11.769584664], [39.6072865410001, 11.827050473], [39.6395750830001, 11.875183082]]]]}","{'placeCode': 'ET030309', 'placeCodeParent': 'ET0303', 'name': 'Woldiya town', 'adminLevel': 3}"
4,3,ET041311,Woliso town,ET0413,"{'type': 'MultiPolygon', 'coordinates': [[[[37.979924168, 8.55818273800003], [37.9572665790001, 8.53973077900002], [37.9677607790001, 8.52221608200006], [37.9901177620001, 8.52411488300004], [37.979924168, 8.55818273800003]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.979924168, 8.55818273800003], [37.9572665790001, 8.53973077900002], [37.9677607790001, 8.52221608200006], [37.9901177620001, 8.52411488300004], [37.979924168, 8.55818273800003]]]]}","{'placeCode': 'ET041311', 'placeCodeParent': 'ET0413', 'name': 'Woliso town', 'adminLevel': 3}"
5,3,ET050599,Bodaley,ET0505,"{'type': 'MultiPolygon', 'coordinates': [[[[44.212214154, 7.19264685500002], [44.1219098650001, 7.13298323100003], [44.0413935460001, 7.16498608300003], [43.928131202, 7.26016452300007], [43.7595629740001, 7.38098560900005], [43.7083898180001, 7.33393748400005], [43.6963278970001, 7.25748357700007], [43.654673, 6.993456], [43.591777, 6.81952], [43.8271230830001, 6.81651401800002], [43.8528212620001, 6.77844264200007], [43.8994586970001, 6.73180520700004], [44.1090892120001, 6.77832366900003], [44.211406035, 6.81223098900006], [44.136453014, 6.92406565600004], [44.111468673, 6.97165487600006], [44.1305043610001, 7.01032111700005], [44.2655387730001, 7.01983896100006], [44.416657376, 7.06806357500005], [44.212214154, 7.19264685500002]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[44.212214154, 7.19264685500002], [44.1219098650001, 7.13298323100003], [44.0413935460001, 7.16498608300003], [43.928131202, 7.26016452300007], [43.7595629740001, 7.38098560900005], [43.7083898180001, 7.33393748400005], [43.6963278970001, 7.25748357700007], [43.654673, 6.993456], [43.591777, 6.81952], [43.8271230830001, 6.81651401800002], [43.8528212620001, 6.77844264200007], [43.8994586970001, 6.73180520700004], [44.1090892120001, 6.77832366900003], [44.211406035, 6.81223098900006], [44.136453014, 6.92406565600004], [44.111468673, 6.97165487600006], [44.1305043610001, 7.01032111700005], [44.2655387730001, 7.01983896100006], [44.416657376, 7.06806357500005], [44.212214154, 7.19264685500002]]]]}","{'placeCode': 'ET050599', 'placeCodeParent': 'ET0505', 'name': 'Bodaley', 'adminLevel': 3}"
6,3,ET071014,Bonke,ET0710,"{'type': 'MultiPolygon', 'coordinates': [[[[37.387251984, 6.19394218700006], [37.355239952, 6.21297544500004], [37.296610351, 6.15531080100004], [37.28151001, 6.13052978200005], [37.3129833580001, 6.05638707400004], [37.2999424220001, 6.02858251200007], [37.3161522980001, 6.02322055200005], [37.3614778080001, 6.06120718000005], [37.348586062, 6.09226298500005], [37.365952834, 6.13074700300007], [37.3708971390001, 6.13274778800007], [37.387524506, 6.16264893000005], [37.387251984, 6.19394218700006]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.387251984, 6.19394218700006], [37.355239952, 6.21297544500004], [37.296610351, 6.15531080100004], [37.28151001, 6.13052978200005], [37.3129833580001, 6.05638707400004], [37.2999424220001, 6.02858251200007], [37.3161522980001, 6.02322055200005], [37.3614778080001, 6.06120718000005], [37.348586062, 6.09226298500005], [37.365952834, 6.13074700300007], [37.3708971390001, 6.13274778800007], [37.387524506, 6.16264893000005], [37.387251984, 6.19394218700006]]]]}","{'placeCode': 'ET071014', 'placeCodeParent': 'ET0710', 'name': 'Bonke', 'adminLevel': 3}"
7,3,ET010211,Abi Adi town,ET0102,"{'type': 'MultiPolygon', 'coordinates': [[[[39.01811608, 13.618445869], [38.9952536420001, 13.6576872480001], [38.9691449090001, 13.656325221], [38.9736796, 13.613792271], [39.01811608, 13.618445869]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[39.01811608, 13.618445869], [38.9952536420001, 13.6576872480001], [38.9691449090001, 13.656325221], [38.9736796, 13.613792271], [39.01811608, 13.618445869]]]]}","{'placeCode': 'ET010211', 'placeCodeParent': 'ET0102', 'name': 'Abi Adi town', 'adminLevel': 3}"
8,3,ET040708,Adama Tulu Jido Kombolcha,ET0407,"{'type': 'MultiPolygon', 'coordinates': [[[[38.9177399430001, 7.32734902400006], [38.917483454, 7.35022188900007], [38.8783425670001, 7.35092885200004], [38.906291998, 7.32658251900006], [38.9177399430001, 7.32734902400006]]], [[[38.916245717, 8.03613130400004], [38.8452147620001, 8.01682870000008], [38.747645855, 8.03278300200003], [38.659800939, 8.06007945300007], [38.614259313, 8.04944446100006], [38.6277017640001, 8.03359527900005], [38.5973676830001, 7.99058894100005], [38.5865072890001, 7.93825996700002], [38.5494852310001, 7.87087444100007], [38.538711113, 7.86482793600004], [38.512908086, 7.84891044500006], [38.4924428840001, 7.79539334200007], [38.4554828810001, 7.76774387400008], [38.43865298, 7.71886701800003], [38.4123015500001, 7.67991123300004], [38.4202630090001, 7.62434280300005], [38.4008246130001, 7.59530316200005], [38.419043576, 7.56916051000007], [38.4609122430001, 7.59334486300003], [38.4750883830001, 7.62309007700003], [38.499159063, 7.63449897300006], [38.545776812, 7.68533537700006], [38.6125075590001, 7.66724230700004], [38.6970445090001, 7.68354387000005], [38.710183988, 7.67958310200004], [38.736451989, 7.69580326500005], [38.798384883, 7.65880321700007], [38.810406594, 7.69938144900004], [38.8483786960001, 7.70718599800006], [38.8759505850001, 7.69275733300003], [38.890918169, 7.72912735400007], [38.8528484870001, 7.79731608900005], [38.8570423520001, 7.81455261200006], [38.8301014830001, 7.85419722900002], [38.7960334210001, 7.86528972300005], [38.7772835810001, 7.88755785500007], [38.806640906, 7.90937250600007], [38.8723663600001, 7.98506736700006], [38.8941814840001, 7.99771232300003], [38.916245717, 8.03613130400004]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[38.9177399430001, 7.32734902400006], [38.917483454, 7.35022188900007], [38.8783425670001, 7.35092885200004], [38.906291998, 7.32658251900006], [38.9177399430001, 7.32734902400006]]], [[[38.916245717, 8.03613130400004], [38.8452147620001, 8.01682870000008], [38.747645855, 8.03278300200003], [38.659800939, 8.06007945300007], [38.614259313, 8.04944446100006], [38.6277017640001, 8.03359527900005], [38.5973676830001, 7.99058894100005], [38.5865072890001, 7.93825996700002], [38.5494852310001, 7.87087444100007], [38.538711113, 7.86482793600004], [38.512908086, 7.84891044500006], [38.4924428840001, 7.79539334200007], [38.4554828810001, 7.76774387400008], [38.43865298, 7.71886701800003], [38.4123015500001, 7.67991123300004], [38.4202630090001, 7.62434280300005], [38.4008246130001, 7.59530316200005], [38.419043576, 7.56916051000007], [38.4609122430001, 7.59334486300003], [38.4750883830001, 7.62309007700003], [38.499159063, 7.63449897300006], [38.545776812, 7.68533537700006], [38.6125075590001, 7.66724230700004], [38.6970445090001, 7.68354387000005], [38.710183988, 7.67958310200004], [38.736451989, 7.69580326500005], [38.798384883, 7.65880321700007], [38.810406594, 7.69938144900004], [38.8483786960001, 7.70718599800006], [38.8759505850001, 7.69275733300003], [38.890918169, 7.72912735400007], [38.8528484870001, 7.79731608900005], [38.8570423520001, 7.81455261200006], [38.8301014830001, 7.85419722900002], [38.7960334210001, 7.86528972300005], [38.7772835810001, 7.88755785500007], [38.806640906, 7.90937250600007], [38.8723663600001, 7.98506736700006], [38.8941814840001, 7.99771232300003], [38.916245717, 8.03613130400004]]]]}","{'placeCode': 'ET040708', 'placeCodeParent': 'ET0407', 'name': 'Adama Tulu Jido Kombolcha', 'adminLevel': 3}"
9,3,ET010607,Adigudom,ET0106,"{'type': 'MultiPolygon', 'coordinates': [[[[39.4998030510001, 13.2708599430001], [39.488475534, 13.2332492210001], [39.528410668, 13.244782193], [39.4998030510001, 13.2708599430001]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[39.4998030510001, 13.2708599430001], [39.488475534, 13.2332492210001], [39.528410668, 13.244782193], [39.4998030510001, 13.2708599430001]]]]}","{'placeCode': 'ET010607', 'placeCodeParent': 'ET0106', 'name': 'Adigudom', 'adminLevel': 3}"
