,adminLevel,placeCode,name,placeCodeParent,geom,geometry,properties
10,3,ET041905,Abay Chomen,ET0419,"{'type': 'MultiPolygon', 'coordinates': [[[[37.437831223, 9.61580595200007], [37.43588119, 9.66756091800005], [37.476741157, 9.68501519100005], [37.482885502, 9.75546529800005], [37.4796248920001, 9.80429685700005], [37.427492914, 9.82161656400007], [37.4162825350001, 9.85586553800005], [37.4136182450001, 9.91847522500007], [37.3718696930001, 9.98831095600002], [37.356513691, 9.99605236600007], [37.3349204630001, 9.98561893700003], [37.3399250900001, 9.92159359300007], [37.317723196, 9.86969160700005], [37.3181399590001, 9.80920905400006], [37.2718651760001, 9.79366860500005], [37.2551678, 9.76340975500005], [37.2453191990001, 9.71407657400005], [37.209436162, 9.69714831700003], [37.2278881020001, 9.65876018700004], [37.227025875, 9.62539012800005], [37.2142971280001, 9.59815381100003], [37.23583646, 9.54071546400007], [37.2514523770001, 9.52986424200003], [37.3368268180001, 9.57378839400008], [37.3948349500001, 9.54734112900007], [37.418986886, 9.56759262300005], [37.437831223, 9.61580595200007]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.437831223, 9.61580595200007], [37.43588119, 9.66756091800005], [37.476741157, 9.68501519100005], [37.482885502, 9.75546529800005], [37.4796248920001, 9.80429685700005], [37.427492914, 9.82161656400007], [37.4162825350001, 9.85586553800005], [37.4136182450001, 9.91847522500007], [37.3718696930001, 9.98831095600002], [37.356513691, 9.99605236600007], [37.3349204630001, 9.98561893700003], [37.3399250900001, 9.92159359300007], [37.317723196, 9.86969160700005], [37.3181399590001, 9.80920905400006], [37.2718651760001, 9.79366860500005], [37.2551678, 9.76340975500005], [37.2453191990001, 9.71407657400005], [37.209436162, 9.69714831700003], [37.2278881020001, 9.65876018700004], [37.227025875, 9.62539012800005], [37.2142971280001, 9.59815381100003], [37.23583646, 9.54071546400007], [37.2514523770001, 9.52986424200003], [37.3368268180001, 9.57378839400008], [37.3948349500001, 9.54734112900007], [37.418986886, 9.56759262300005], [37.437831223, 9.61580595200007]]]]}","{'placeCode': 'ET041905', 'placeCodeParent': 'ET0419', 'name': 'Abay Chomen', 'adminLevel': 3}"
11,3,ET050699,Aba-Korow,ET0506,"{'type': 'MultiPolygon', 'coordinates': [[[[42.7982600280001, 6.19605002100008], [42.810769357, 6.21385068400002], [42.8832685510001, 6.26139816200004], [42.945061, 6.309813], [42.928917036, 6.40156454900006], [42.809747325, 6.47984282300007], [42.841870048, 6.67257916400007], [42.844203926, 6.76185410200003], [42.7309621810001, 6.73815795100006], [42.681957991, 6.73036183000005], [42.6048634540001, 6.76177071500007], [42.5900071180001, 6.71208097000005], [42.5436076280001, 6.66806094200007], [42.5102951740001, 6.60024630300006], [42.5126746350001, 6.48127325300004], [42.503156791, 6.45509918100004], [42.478695003, 6.29868841200005], [42.5486563800001, 6.29108626400006], [42.6665152740001, 6.25765046200007], [42.7319793950001, 6.25963023700007], [42.7543373390001, 6.21853010700005], [42.7982600280001, 6.19605002100008]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[42.7982600280001, 6.19605002100008], [42.810769357, 6.21385068400002], [42.8832685510001, 6.26139816200004], [42.945061, 6.309813], [42.928917036, 6.40156454900006], [42.809747325, 6.47984282300007], [42.841870048, 6.67257916400007], [42.844203926, 6.76185410200003], [42.7309621810001, 6.73815795100006], [42.681957991, 6.73036183000005], [42.6048634540001, 6.76177071500007], [42.5900071180001, 6.71208097000005], [42.5436076280001, 6.66806094200007], [42.5102951740001, 6.60024630300006], [42.5126746350001, 6.48127325300004], [42.503156791, 6.45509918100004], [42.478695003, 6.29868841200005], [42.5486563800001, 6.29108626400006], [42.6665152740001, 6.25765046200007], [42.7319793950001, 6.25963023700007], [42.7543373390001, 6.21853010700005], [42.7982600280001, 6.19605002100008]]]]}","{'placeCode': 'ET050699', 'placeCodeParent': 'ET0506', 'name': 'Aba-Korow', 'adminLevel': 3}"
12,3,ET040106,Boji Dirmeji,ET0401,"{'type': 'MultiPolygon', 'coordinates': [[[[35.6614390930001, 9.53247255200006], [35.6400360380001, 9.49988427300002], [35.6162689720001, 9.49382372500003], [35.518295057, 9.42043087800005], [35.49768005, 9.38238148200003], [35.46541905, 9.35969222200004], [35.503935788, 9.35257264200004], [35.527948388, 9.31066049400005], [35.5614418430001, 9.33528409200005], [35.594351455, 9.33251134200003], [35.587734272, 9.30344196400006], [35.6236560310001, 9.26795194100004], [35.652822508, 9.26203547400007], [35.661927045, 9.30113168800006], [35.699117647, 9.35824571300003], [35.730595701, 9.37588439800004], [35.755148981, 9.36500818100006], [35.75400266, 9.41654820100007], [35.777325831, 9.44013941400004], [35.7649929880001, 9.47335073700003], [35.710760712, 9.48677192200006], [35.6614390930001, 9.53247255200006]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[35.6614390930001, 9.53247255200006], [35.6400360380001, 9.49988427300002], [35.6162689720001, 9.49382372500003], [35.518295057, 9.42043087800005], [35.49768005, 9.38238148200003], [35.46541905, 9.35969222200004], [35.503935788, 9.35257264200004], [35.527948388, 9.31066049400005], [35.5614418430001, 9.33528409200005], [35.594351455, 9.33251134200003], [35.587734272, 9.30344196400006], [35.6236560310001, 9.26795194100004], [35.652822508, 9.26203547400007], [35.661927045, 9.30113168800006], [35.699117647, 9.35824571300003], [35.730595701, 9.37588439800004], [35.755148981, 9.36500818100006], [35.75400266, 9.41654820100007], [35.777325831, 9.44013941400004], [35.7649929880001, 9.47335073700003], [35.710760712, 9.48677192200006], [35.6614390930001, 9.53247255200006]]]]}","{'placeCode': 'ET040106', 'placeCodeParent': 'ET0401', 'name': 'Boji Dirmeji', 'adminLevel': 3}"
13,3,ET030612,Awabel,ET0306,"{'type': 'MultiPolygon', 'coordinates': [[[[37.9167100110001, 10.4311324550001], [37.941074701, 10.407292758], [37.949737332, 10.3676364560001], [37.9435422120001, 10.3280794040001], [37.922969193, 10.3085652720001], [37.9073573380001, 10.2689798220001], [37.909330739, 10.222132851], [37.927676122, 10.195689223], [37.9617912520001, 10.179073805], [37.9687749130001, 10.1319201380001], [37.9466946090001, 10.09244277], [37.9500344160001, 10.0528955830001], [37.9801421010001, 9.94923061000003], [38.0435859560001, 9.96977979000008], [38.080279708, 10.015223329], [38.1007206790001, 10.0222571940001], [38.0825474310001, 10.176857209], [38.0983750460001, 10.234828], [38.0838697520001, 10.2482828020001], [38.0742970850001, 10.2962436600001], [38.053100027, 10.3412397020001], [38.0282101, 10.3844902380001], [37.9900713710001, 10.427118923], [37.96746784, 10.48161329], [37.9427509980001, 10.498256198], [37.929603222, 10.5436376280001], [37.893636347, 10.58443816], [37.8845242150001, 10.5675838490001], [37.9167100110001, 10.4311324550001]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.9167100110001, 10.4311324550001], [37.941074701, 10.407292758], [37.949737332, 10.3676364560001], [37.9435422120001, 10.3280794040001], [37.922969193, 10.3085652720001], [37.9073573380001, 10.2689798220001], [37.909330739, 10.222132851], [37.927676122, 10.195689223], [37.9617912520001, 10.179073805], [37.9687749130001, 10.1319201380001], [37.9466946090001, 10.09244277], [37.9500344160001, 10.0528955830001], [37.9801421010001, 9.94923061000003], [38.0435859560001, 9.96977979000008], [38.080279708, 10.015223329], [38.1007206790001, 10.0222571940001], [38.0825474310001, 10.176857209], [38.0983750460001, 10.234828], [38.0838697520001, 10.2482828020001], [38.0742970850001, 10.2962436600001], [38.053100027, 10.3412397020001], [38.0282101, 10.3844902380001], [37.9900713710001, 10.427118923], [37.96746784, 10.48161329], [37.9427509980001, 10.498256198], [37.929603222, 10.5436376280001], [37.893636347, 10.58443816], [37.8845242150001, 10.5675838490001], [37.9167100110001, 10.4311324550001]]]]}","{'placeCode': 'ET030612', 'placeCodeParent': 'ET0306', 'name': 'Awabel', 'adminLevel': 3}"
14,3,ET041513,Abaya,ET0415,"{'type': 'MultiPolygon', 'coordinates': [[[[37.8989816640001, 6.59438066800004], [37.8714828190001, 6.58222851400006], [37.813052757, 6.50832976400005], [37.799926004, 6.47818157200004], [37.797455987, 6.42923935200002], [37.8400856870001, 6.37874702100004], [37.8521555630001, 6.30478364700002], [37.8402656010001, 6.24825108100003], [37.8246179390001, 6.21924872300002], [37.875027297, 6.16748291800008], [37.9527476060001, 6.10401078900003], [37.9685994370001, 6.12623701200005], [38.0313976210001, 6.14226226300002], [38.053327972, 6.16851551200006], [38.0893989910001, 6.16437241900007], [38.1250637260001, 6.15512665000006], [38.1710334410001, 6.16688715900005], [38.1979213750001, 6.20643497200007], [38.171911816, 6.25532937900005], [38.186705771, 6.29909822400003], [38.213893281, 6.33017455900006], [38.2486030580001, 6.33627981900003], [38.2882304140001, 6.35984223700007], [38.293151967, 6.39795294100003], [38.282403501, 6.43776997800006], [38.250946045, 6.46265726400003], [38.2158925850001, 6.46331202300007], [38.1706218150001, 6.44982693500003], [38.1434912660001, 6.45819183300006], [38.1496837190001, 6.49658919200004], [38.1145105580001, 6.49956188600004], [38.0907315150001, 6.52606844600007], [38.0515951790001, 6.53473881200006], [38.01646857, 6.57517827500004], [37.968765847, 6.54895443400005], [37.9327005930001, 6.55720640500004], [37.8989816640001, 6.59438066800004]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.8989816640001, 6.59438066800004], [37.8714828190001, 6.58222851400006], [37.813052757, 6.50832976400005], [37.799926004, 6.47818157200004], [37.797455987, 6.42923935200002], [37.8400856870001, 6.37874702100004], [37.8521555630001, 6.30478364700002], [37.8402656010001, 6.24825108100003], [37.8246179390001, 6.21924872300002], [37.875027297, 6.16748291800008], [37.9527476060001, 6.10401078900003], [37.9685994370001, 6.12623701200005], [38.0313976210001, 6.14226226300002], [38.053327972, 6.16851551200006], [38.0893989910001, 6.16437241900007], [38.1250637260001, 6.15512665000006], [38.1710334410001, 6.16688715900005], [38.1979213750001, 6.20643497200007], [38.171911816, 6.25532937900005], [38.186705771, 6.29909822400003], [38.213893281, 6.33017455900006], [38.2486030580001, 6.33627981900003], [38.2882304140001, 6.35984223700007], [38.293151967, 6.39795294100003], [38.282403501, 6.43776997800006], [38.250946045, 6.46265726400003], [38.2158925850001, 6.46331202300007], [38.1706218150001, 6.44982693500003], [38.1434912660001, 6.45819183300006], [38.1496837190001, 6.49658919200004], [38.1145105580001, 6.49956188600004], [38.0907315150001, 6.52606844600007], [38.0515951790001, 6.53473881200006], [38.01646857, 6.57517827500004], [37.968765847, 6.54895443400005], [37.9327005930001, 6.55720640500004], [37.8989816640001, 6.59438066800004]]]]}","{'placeCode': 'ET041513', 'placeCodeParent': 'ET0415', 'name': 'Abaya', 'adminLevel': 3}"
15,3,ET040516,Abuna Ginde Beret,ET0405,"{'type': 'MultiPolygon', 'coordinates': [[[[37.9335222, 9.91761817700007], [37.909325902, 9.93044853600003], [37.8523579020001, 9.89672007600007], [37.82321159, 9.87385116200005], [37.8882818270001, 9.79895953000005], [37.88670139, 9.76504448800006], [37.860185701, 9.70118573900004], [37.8703924590001, 9.66650704000006], [37.9100148380001, 9.63023149800006], [37.891396308, 9.59691430000004], [37.8945429510001, 9.53421717500004], [37.8881563400001, 9.50158889800002], [37.8548251350001, 9.46638706400006], [37.9440739400001, 9.43622576200005], [37.98118249, 9.47030069000004], [38.033312575, 9.49614460600003], [38.0954020470001, 9.47774387600003], [38.1142100370001, 9.48245679200005], [38.132070191, 9.50713553100007], [38.131428794, 9.55531299500007], [38.1414953720001, 9.58365967300006], [38.1301226580001, 9.63778321700005], [38.1090463460001, 9.65589469000003], [38.0757243520001, 9.73932309000003], [38.0553506040001, 9.77077741100004], [38.050066352, 9.82128205600003], [38.033318765, 9.84847320200004], [37.996407784, 9.87087909200005], [37.9711957010001, 9.86991786300007], [37.9335222, 9.91761817700007]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.9335222, 9.91761817700007], [37.909325902, 9.93044853600003], [37.8523579020001, 9.89672007600007], [37.82321159, 9.87385116200005], [37.8882818270001, 9.79895953000005], [37.88670139, 9.76504448800006], [37.860185701, 9.70118573900004], [37.8703924590001, 9.66650704000006], [37.9100148380001, 9.63023149800006], [37.891396308, 9.59691430000004], [37.8945429510001, 9.53421717500004], [37.8881563400001, 9.50158889800002], [37.8548251350001, 9.46638706400006], [37.9440739400001, 9.43622576200005], [37.98118249, 9.47030069000004], [38.033312575, 9.49614460600003], [38.0954020470001, 9.47774387600003], [38.1142100370001, 9.48245679200005], [38.132070191, 9.50713553100007], [38.131428794, 9.55531299500007], [38.1414953720001, 9.58365967300006], [38.1301226580001, 9.63778321700005], [38.1090463460001, 9.65589469000003], [38.0757243520001, 9.73932309000003], [38.0553506040001, 9.77077741100004], [38.050066352, 9.82128205600003], [38.033318765, 9.84847320200004], [37.996407784, 9.87087909200005], [37.9711957010001, 9.86991786300007], [37.9335222, 9.91761817700007]]]]}","{'placeCode': 'ET040516', 'placeCodeParent': 'ET0405', 'name': 'Abuna Ginde Beret', 'adminLevel': 3}"
16,3,ET140108,Addis Ketema (AA),ET1401,"{'type': 'MultiPolygon', 'coordinates': [[[[38.7355373570001, 9.04670189800004], [38.7167489220001, 9.05563494800003], [38.7187727130001, 9.02169817000004], [38.7454117830001, 9.03048150700005], [38.7355373570001, 9.04670189800004]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[38.7355373570001, 9.04670189800004], [38.7167489220001, 9.05563494800003], [38.7187727130001, 9.02169817000004], [38.7454117830001, 9.03048150700005], [38.7355373570001, 9.04670189800004]]]]}","{'placeCode': 'ET140108', 'placeCodeParent': 'ET1401', 'name': 'Addis Ketema (AA)', 'adminLevel': 3}"
17,3,ET030299,Adisezemen town,ET0302,"{'type': 'MultiPolygon', 'coordinates': [[[[37.7809150510001, 12.133627706], [37.7693930990001, 12.125263633], [37.772817463, 12.1127313550001], [37.789865955, 12.1246360870001], [37.7809150510001, 12.133627706]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[37.7809150510001, 12.133627706], [37.7693930990001, 12.125263633], [37.772817463, 12.1127313550001], [37.789865955, 12.1246360870001], [37.7809150510001, 12.133627706]]]]}","{'placeCode': 'ET030299', 'placeCodeParent': 'ET0302', 'name': 'Adisezemen town', 'adminLevel': 3}"
18,3,ET040417,Agaro town,ET0404,"{'type': 'MultiPolygon', 'coordinates': [[[[36.566630033, 7.87229108800005], [36.576706599, 7.84174818700006], [36.600289122, 7.86086257100004], [36.566630033, 7.87229108800005]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[36.566630033, 7.87229108800005], [36.576706599, 7.84174818700006], [36.600289122, 7.86086257100004], [36.566630033, 7.87229108800005]]]]}","{'placeCode': 'ET040417', 'placeCodeParent': 'ET0404', 'name': 'Agaro town', 'adminLevel': 3}"
19,3,ET160021,Aleta Wondo town,ET1600,"{'type': 'MultiPolygon', 'coordinates': [[[[38.4182108100001, 6.61685599700007], [38.4032354350001, 6.61042413000007], [38.411150607, 6.59616928400004], [38.427185471, 6.59678629000007], [38.4337739650001, 6.61194367400003], [38.4182108100001, 6.61685599700007]]]]}","{'type': 'MultiPolygon', 'coordinates': [[[[38.4182108100001, 6.61685599700007], [38.4032354350001, 6.61042413000007], [38.411150607, 6.59616928400004], [38.427185471, 6.59678629000007], [38.4337739650001, 6.61194367400003], [38.4182108100001, 6.61685599700007]]]]}","{'placeCode': 'ET160021', 'placeCodeParent': 'ET1600', 'name': 'Aleta Wondo town', 'adminLevel': 3}"
