id,Name,2y,5y,20y,glofasstation
100,G4957_Nr._BAHIR_DAR,382.69,424.19,478.02,G4957
101,G4960_Na,19275.02,20357.9,21762.6,G4960
102,G4965_Nr._ADDIS_ZEMEN,346.84,387.4,440.01,G4965
103,G4969_Na,18328.37,19406.59,20805.24,G4969
104,G4977_Nr._MARAWI,382.04,464.75,572.04,G4977
105,G4979_Na,14871.71,15852.53,17124.82,G4979
106,G4980_Nr._Kessie,9172.42,9994.81,11061.59,G4980
107,G4983_Na,3481.43,3858.96,4348.69,G4983
108,G5056_Na,737.05,872.97,1049.3,G5056
109,G5068_Na,475.01,703.12,999.03,G5068
110,G5075_Mpologoma_At_Budumba_82217,699.91,869.45,1089.37,G5075
111,G5076_Na,2746.6,3154.02,3682.51,G5076
112,G5081_Na,3018.38,3578.4,4304.83,G5081
113,G5082_Na,266.54,412.79,602.5,G5082
114,G5114_Kapiri_82227,1079.01,1336.38,1670.23,G5114
115,G5115_Na,852.05,996.74,1184.43,G5115
116,G5118_Na,523.14,630.14,768.93,G5118
117,G5141_Na,1396.61,1675.41,2037.07,G5141
118,G5142_Na,274.04,380.23,517.98,G5142
119,G5145_Na,1610.12,1973.68,2445.27,G5145
120,G5145_Rwizi_At_Mbarara_Water_Works_81224,108.12,136.43,173.16,G5145
121,G5160_Mayanja_83218,133.88,165.23,205.89,G5160
122,G5163_Pager_At_Kitgum,459.91,589.75,758.18,G5163
123,G5164_Aswa_Ii_86202,562.58,758.87,1013.48,G5164
124,G5170_Na,2115.34,2499.33,2997.44,G5170
125,G5171_Na,1347.87,1712.71,2185.96,G5171
126,G5173_Na,501.48,829.47,1254.93,G5173
127,G5179_Na,9200.72,11285.58,13990.02,G5179
128,G5189_Muzizi_85211,81.1,101.4,127.72,G5189
129,G5194_Na,8604.77,10475.37,12901.87,G5194
130,G5195_Na,518.78,675.15,877.98,G5195
131,G5196_Akokorio_At_Uganda_Gauge,475.99,621.58,810.43,G5196
132,G5196_Uganda_Gauge,475.99,621.58,810.43,G5196
133,G5197_Na,338.31,531.04,781.06,G5197
134,G5198_Na,192.69,375.56,612.79,G5198
135,G5200_Magoro_Ngariam,782.16,971.44,1216.97,G5200
136,G5208_Na,511.48,868.84,1332.39,G5208
137,G5210_Na,826.66,1156.13,1583.5,G5210
138,G5220_Manafwa_At_Butaleja_82212,346.32,414.47,502.88,G5220
139,G5223_Kyoga_Nile_At_Masindi_Port_83203,8916.4,10942.3,13570.26,G5223
140,G5227_Nkusi_85212,80.05,96.65,118.19,G5227
141,G5230_Na,14185.82,17881.04,22674.39,G5230
142,G5230_Sio_River_1Ah01,94.05,139.02,197.36,G5230
143,G5242_Semliki_85205,3489.21,3853.8,4326.74,G5242
144,G5299_Na,846.54,1148.98,1541.3,G5299
