stationCode,stationName,triggerLevel,threshold2Year,threshold5Year,threshold10Year,threshold20Year,lat,lon
G5075,Mpologoma at Budumba (82217),724,532.49,650.392,724,806.345,0.77,33.77
G5160,Mayanja (83218),131,114.473,131,138.483,144.02,0.67,32.17
G5189,Muzizi (85211),73,63.4104,73,79.3015,85.2363,0.87,30.72
G5230,SIO RIVER (1AH01),149,98.853,130.427,149,166.3,0.32,34.07
G5220,Manafwa at Butaleja (82212),475,408.06,475,528.723,577.715,0.97,34.02
G5317,Mitano (84267),236,181.119,213.893,236,256.794,-0.82,29.82
G5196,Akokorio at Uganda Gauge,588,475.505,588,640.766,672.646,1.67,33.87
