stationCode,triggerLevel,threshold2Year,threshold5Year,threshold10Year,threshold20Year,threshold50Year,lat,lon
G1724,6382,5131,6382,7518.8,8006,8395.76,35.05,-16.45
G2001,5475,4528,5475,6333.9,6702,6996.48,34.95,-16.25
G5670,796,531,796,1036.8,1140,1222.56,35.25,-16.25
G5694,5311,4421,5311,6118.8,6465,6741.96,34.85,-16.05
