,stationCode,stationName,triggerLevel,threshold2Year,threshold5Year,threshold10Year,threshold20Year,lat,lon,glofasStation,rl_1.5,rl_2.0,rl_5.0,rl_10.0,rl_20.0,rl_50.0,rl_100.0,rl_200.0,rl_500.0
0,G5142,Athi Munyu 3Da02,469.236,390.4525593,534.3997114,659.0794406,806.8381115,-1.07,37.22,G5142,1141.2,1493,2379.1,2967.5,3531.9,4262.5,4810,5355.5,6075.1
1,G5195,Nzoia At Ruambwa Ferry 1Ef01,469.8,112.1186667,467.7212541,512.3386147,562.1102816,0.12,34.07,G5195,27338,30141.9,37042.6,41611.5,45994.1,51667,55918.1,60153.8,65742
2,G5305,Tana Hola 4G04,1191.6,32.23711482,281.2453875,1156.949327,4481.199153,-1.47,40.02,G5305,556.7,723.1,1132.5,1403.5,1663.6,2000.1,2252.3,2503.6,2835.1
