manucipalities,placeCode,parentCode,adm1_pcode,glofasStation
Panglao,PH071233000,PH071200000,PH070000000,no_station
Pilar,PH071234000,PH071200000,PH070000000,no_station
Pres. Carlos P. Garcia,PH071235000,PH071200000,PH070000000,no_station
Sugpon,PH012931000,PH012900000,PH010000000,no_station
Balagtas,PH031402000,PH031400000,PH030000000,no_station
Bagulin,PH013304000,PH013300000,PH010000000,no_station
Balaoan,PH013305000,PH013300000,PH010000000,no_station
Bangar,PH013306000,PH013300000,PH010000000,no_station
Bauang,PH013307000,PH013300000,PH010000000,no_station
Santo Tomas,PH015540000,PH015500000,PH010000000,no_station
Norzagaray,PH031413000,PH031400000,PH030000000,no_station
Burgos,PH013308000,PH013300000,PH010000000,no_station
Caba,PH013309000,PH013300000,PH010000000,no_station
Luna,PH013310000,PH013300000,PH010000000,no_station
Naguilian,PH013311000,PH013300000,PH010000000,no_station
Don Victoriano Chiongbian,PH104217000,PH104200000,PH100000000,no_station
Alubijid,PH104301000,PH104300000,PH100000000,no_station
Pugo,PH013312000,PH013300000,PH010000000,no_station
Rosario,PH013313000,PH013300000,PH010000000,no_station
City of San Fernando,PH013314000,PH013300000,PH010000000,no_station
San Gabriel,PH013315000,PH013300000,PH010000000,no_station
San Juan,PH013316000,PH013300000,PH010000000,no_station
Santo Tomas,PH013317000,PH013300000,PH010000000,no_station
Santol,PH013318000,PH013300000,PH010000000,no_station
Balingoan,PH104303000,PH104300000,PH100000000,no_station
Binuangan,PH104304000,PH104300000,PH100000000,no_station
Cagayan de Oro City,PH104305000,PH104300000,PH100000000,no_station
Claveria,PH104306000,PH104300000,PH100000000,no_station
City of El Salvador,PH104307000,PH104300000,PH100000000,no_station
Gingoog City,PH104308000,PH104300000,PH100000000,no_station
Gitagum,PH104309000,PH104300000,PH100000000,no_station
Initao,PH104310000,PH104300000,PH100000000,no_station
Jasaan,PH104311000,PH104300000,PH100000000,no_station
Kinoguitan,PH104312000,PH104300000,PH100000000,no_station
Lagonglong,PH104313000,PH104300000,PH100000000,no_station
Laguindingan,PH104314000,PH104300000,PH100000000,no_station
Libertad,PH104315000,PH104300000,PH100000000,no_station
Lugait,PH104316000,PH104300000,PH100000000,no_station
Magsaysay,PH104317000,PH104300000,PH100000000,no_station
Manticao,PH104318000,PH104300000,PH100000000,no_station
Sudipen,PH013319000,PH013300000,PH010000000,no_station
Naawan,PH104320000,PH104300000,PH100000000,no_station
Opol,PH104321000,PH104300000,PH100000000,no_station
Salay,PH104322000,PH104300000,PH100000000,no_station
Sugbongcogon,PH104323000,PH104300000,PH100000000,no_station
Tagoloan,PH104324000,PH104300000,PH100000000,no_station
Talisayan,PH104325000,PH104300000,PH100000000,no_station
Villanueva,PH104326000,PH104300000,PH100000000,no_station
Asuncion,PH112301000,PH112300000,PH110000000,no_station
Carmen,PH112303000,PH112300000,PH110000000,no_station
Tubao,PH013320000,PH013300000,PH010000000,no_station
Agno,PH015501000,PH015500000,PH010000000,no_station
Aguilar,PH015502000,PH015500000,PH010000000,no_station
City of Alaminos,PH015503000,PH015500000,PH010000000,no_station
Alcala,PH015504000,PH015500000,PH010000000,no_station
Anda,PH015505000,PH015500000,PH010000000,no_station
Maria Aurora,PH037707000,PH037700000,PH030000000,no_station
Asingan,PH015506000,PH015500000,PH010000000,no_station
Balungao,PH015507000,PH015500000,PH010000000,no_station
Bani,PH015508000,PH015500000,PH010000000,no_station
Basista,PH015509000,PH015500000,PH010000000,no_station
Rosario,PH042117000,PH042100000,PH040000000,no_station
Bautista,PH015510000,PH015500000,PH010000000,no_station
Bayambang,PH015511000,PH015500000,PH010000000,no_station
Pitogo,PH045634000,PH045600000,PH040000000,no_station
Binalonan,PH015512000,PH015500000,PH010000000,no_station
Binmaley,PH015513000,PH015500000,PH010000000,no_station
Bolinao,PH015514000,PH015500000,PH010000000,no_station
Bugallon,PH015515000,PH015500000,PH010000000,no_station
Burgos,PH015516000,PH015500000,PH010000000,no_station
Calasiao,PH015517000,PH015500000,PH010000000,no_station
Dagupan City,PH015518000,PH015500000,PH010000000,no_station
Dasol,PH015519000,PH015500000,PH010000000,no_station
Infanta,PH015520000,PH015500000,PH010000000,no_station
Labrador,PH015521000,PH015500000,PH010000000,no_station
Lingayen,PH015522000,PH015500000,PH010000000,no_station
Mabini,PH015523000,PH015500000,PH010000000,no_station
Malasiqui,PH015524000,PH015500000,PH010000000,no_station
Manaoag,PH015525000,PH015500000,PH010000000,no_station
Mangaldan,PH015526000,PH015500000,PH010000000,no_station
Mangatarem,PH015527000,PH015500000,PH010000000,no_station
Urbiztondo,PH015545000,PH015500000,PH010000000,no_station
City of Urdaneta,PH015546000,PH015500000,PH010000000,no_station
Mandaon,PH054110000,PH054100000,PH050000000,no_station
Mapandan,PH015528000,PH015500000,PH010000000,no_station
Tineg,PH140125000,PH140100000,PH140000000,no_station
Natividad,PH015529000,PH015500000,PH010000000,no_station
Enrile,PH021512000,PH021500000,PH020000000,G4630
Gattaran,PH021513000,PH021500000,PH020000000,G4630
Gonzaga,PH021514000,PH021500000,PH020000000,G4630
Pozorrubio,PH015530000,PH015500000,PH010000000,no_station
Rosales,PH015531000,PH015500000,PH010000000,no_station
San Carlos City,PH015532000,PH015500000,PH010000000,no_station
San Fabian,PH015533000,PH015500000,PH010000000,no_station
Laur,PH034913000,PH034900000,PH030000000,no_station
Licab,PH034914000,PH034900000,PH030000000,no_station
Llanera,PH034915000,PH034900000,PH030000000,no_station
San Jacinto,PH015534000,PH015500000,PH010000000,no_station
San Manuel,PH015535000,PH015500000,PH010000000,no_station
Science City of MuÃƒÂ±oz,PH034917000,PH034900000,PH030000000,no_station
Sikatuna,PH071241000,PH071200000,PH070000000,no_station
San Nicolas,PH015536000,PH015500000,PH010000000,no_station
San Quintin,PH015537000,PH015500000,PH010000000,no_station
Santa Barbara,PH015538000,PH015500000,PH010000000,no_station
Santa Maria,PH015539000,PH015500000,PH010000000,no_station
Sasmuan,PH035422000,PH035400000,PH030000000,no_station
Salcedo,PH082619000,PH082600000,PH080000000,no_station
Sison,PH015541000,PH015500000,PH010000000,no_station
Sual,PH015542000,PH015500000,PH010000000,no_station
Iguig,PH021515000,PH021500000,PH020000000,G4630
Lal-Lo,PH021516000,PH021500000,PH020000000,G4630
Tayug,PH015543000,PH015500000,PH010000000,no_station
Umingan,PH015544000,PH015500000,PH010000000,no_station
San Remigio,PH060614000,PH060600000,PH060000000,no_station
Sebaste,PH060615000,PH060600000,PH060000000,no_station
San Policarpo,PH082621000,PH082600000,PH080000000,no_station
Villasis,PH015547000,PH015500000,PH010000000,no_station
Laoac,PH015548000,PH015500000,PH010000000,no_station
Basco,PH020901000,PH020900000,PH020000000,no_station
Itbayat,PH020902000,PH020900000,PH020000000,no_station
Ivana,PH020903000,PH020900000,PH020000000,no_station
Mahatao,PH020904000,PH020900000,PH020000000,no_station
Sabtang,PH020905000,PH020900000,PH020000000,no_station
Uyugan,PH020906000,PH020900000,PH020000000,no_station
Abulug,PH021501000,PH021500000,PH020000000,no_station
Padre Burgos,PH086410000,PH086400000,PH080000000,no_station
Alcala,PH021502000,PH021500000,PH020000000,G4630
Allacapan,PH021503000,PH021500000,PH020000000,G4630
Amulung,PH021504000,PH021500000,PH020000000,G4630
Aparri,PH021505000,PH021500000,PH020000000,no_station
Baggao,PH021506000,PH021500000,PH020000000,G4630
Ballesteros,PH021507000,PH021500000,PH020000000,no_station
Buguey,PH021508000,PH021500000,PH020000000,G4630
Calayan,PH021509000,PH021500000,PH020000000,no_station
San Francisco,PH072242000,PH072200000,PH070000000,no_station
San Remigio,PH072243000,PH072200000,PH070000000,no_station
Santa Fe,PH072244000,PH072200000,PH070000000,no_station
Camalaniugan,PH021510000,PH021500000,PH020000000,G4630
Claveria,PH021511000,PH021500000,PH020000000,no_station
Alicia,PH023101000,PH023100000,PH020000000,G4630
Lasam,PH021517000,PH021500000,PH020000000,G4630
Pamplona,PH021518000,PH021500000,PH020000000,no_station
PeÃƒÂ±ablanca,PH021519000,PH021500000,PH020000000,G4630
Anao,PH036901000,PH036900000,PH030000000,no_station
Piat,PH021520000,PH021500000,PH020000000,G4630
Rizal,PH021521000,PH021500000,PH020000000,G4630
Sanchez-Mira,PH021522000,PH021500000,PH020000000,no_station
Santa Ana,PH021523000,PH021500000,PH020000000,no_station
Santa Praxedes,PH021524000,PH021500000,PH020000000,no_station
Santa Teresita,PH021525000,PH021500000,PH020000000,G4630
Aurora,PH023103000,PH023100000,PH020000000,G4630
Bamban,PH036902000,PH036900000,PH030000000,G1967
Santa Maria,PH118604000,PH118600000,PH110000000,no_station
Santo NiÃƒÂ±o,PH021526000,PH021500000,PH020000000,G4630
Kabayan,PH141107000,PH141100000,PH140000000,no_station
Carmen,PH124702000,PH124700000,PH120000000,G1970
Solana,PH021527000,PH021500000,PH020000000,G4630
Sibalom,PH060616000,PH060600000,PH060000000,no_station
Tibiao,PH060617000,PH060600000,PH060000000,no_station
Vincenzo A. Sagun,PH097341000,PH097300000,PH090000000,no_station
Tuao,PH021528000,PH021500000,PH020000000,G4630
Naga,PH098309000,PH098300000,PH090000000,no_station
Tuguegarao City,PH021529000,PH021500000,PH020000000,G4630
Valderrama,PH060618000,PH060600000,PH060000000,no_station
City of Malaybalay,PH101312000,PH101300000,PH100000000,no_station
Malitbog,PH101313000,PH101300000,PH100000000,no_station
Angadanan,PH023102000,PH023100000,PH020000000,G4630
Barotac Nuevo,PH063007000,PH063000000,PH060000000,no_station
Barotac Viejo,PH063008000,PH063000000,PH060000000,no_station
Batad,PH063009000,PH063000000,PH060000000,no_station
Bingawan,PH063010000,PH063000000,PH060000000,no_station
Kauswagan,PH103507000,PH103500000,PH100000000,no_station
Benito Soliven,PH023104000,PH023100000,PH020000000,G4630
Cabatuan,PH023107000,PH023100000,PH020000000,G4630
City of Cauayan,PH023108000,PH023100000,PH020000000,G4630
Burgos,PH023105000,PH023100000,PH020000000,G4630
Paete,PH043418000,PH043400000,PH040000000,no_station
Cabagan,PH023106000,PH023100000,PH020000000,G4630
Pagsanjan,PH043419000,PH043400000,PH040000000,no_station
Pakil,PH043420000,PH043400000,PH040000000,no_station
Cordon,PH023109000,PH023100000,PH020000000,G4630
Dinapigue,PH023110000,PH023100000,PH020000000,no_station
Divilacan,PH023111000,PH023100000,PH020000000,no_station
Luna,PH023116000,PH023100000,PH020000000,G4630
Maconacon,PH023117000,PH023100000,PH020000000,G4630
Pangil,PH043421000,PH043400000,PH040000000,no_station
Echague,PH023112000,PH023100000,PH020000000,G4630
Gamu,PH023113000,PH023100000,PH020000000,G4630
Ilagan City,PH023114000,PH023100000,PH020000000,G4630
Jones,PH023115000,PH023100000,PH020000000,G4630
Hingyon,PH142709000,PH142700000,PH140000000,no_station
Delfin Albano,PH023118000,PH023100000,PH020000000,G4630
San Agustin,PH023127000,PH023100000,PH020000000,G4630
Tinoc,PH142710000,PH142700000,PH140000000,no_station
Mallig,PH023119000,PH023100000,PH020000000,G4630
Naguilian,PH023120000,PH023100000,PH020000000,G4630
Palanan,PH023121000,PH023100000,PH020000000,no_station
Quezon,PH023122000,PH023100000,PH020000000,G4630
Quirino,PH023123000,PH023100000,PH020000000,G4630
Ramon,PH023124000,PH023100000,PH020000000,G4630
Reina Mercedes,PH023125000,PH023100000,PH020000000,G4630
Roxas,PH023126000,PH023100000,PH020000000,G4630
Asipulo,PH142711000,PH142700000,PH140000000,no_station
Balbalan,PH143201000,PH143200000,PH140000000,no_station
San Guillermo,PH023128000,PH023100000,PH020000000,G4630
San Isidro,PH023129000,PH023100000,PH020000000,G4630
San Manuel,PH023130000,PH023100000,PH020000000,G4630
San Mariano,PH023131000,PH023100000,PH020000000,G4630
Santo Tomas,PH023136000,PH023100000,PH020000000,G4630
San Mateo,PH023132000,PH023100000,PH020000000,G4630
San Pablo,PH023133000,PH023100000,PH020000000,G4630
Sagbayan,PH071236000,PH071200000,PH070000000,no_station
Santa Maria,PH023134000,PH023100000,PH020000000,G4630
Tumauini,PH023137000,PH023100000,PH020000000,G4630
Ambaguio,PH025001000,PH025000000,PH020000000,no_station
Aritao,PH025002000,PH025000000,PH020000000,no_station
Bagabag,PH025003000,PH025000000,PH020000000,no_station
City of Santiago,PH023135000,PH023100000,PH020000000,G4630
Quezon,PH025011000,PH025000000,PH020000000,no_station
Bambang,PH025004000,PH025000000,PH020000000,no_station
Bayombong,PH025005000,PH025000000,PH020000000,no_station
Solano,PH025013000,PH025000000,PH020000000,no_station
Villaverde,PH025014000,PH025000000,PH020000000,no_station
Alfonso Castaneda,PH025015000,PH025000000,PH020000000,no_station
Aglipay,PH025701000,PH025700000,PH020000000,no_station
Diadi,PH025006000,PH025000000,PH020000000,no_station
Dupax del Norte,PH025007000,PH025000000,PH020000000,no_station
Dupax del Sur,PH025008000,PH025000000,PH020000000,no_station
Baliuag,PH031403000,PH031400000,PH030000000,G1966
Kasibu,PH025009000,PH025000000,PH020000000,no_station
Kayapa,PH025010000,PH025000000,PH020000000,no_station
Obando,PH031414000,PH031400000,PH030000000,no_station
Pandi,PH031415000,PH031400000,PH030000000,no_station
Paombong,PH031416000,PH031400000,PH030000000,G1966
Plaridel,PH031417000,PH031400000,PH030000000,G1966
Cabarroguis,PH025702000,PH025700000,PH020000000,no_station
San Miguel,PH031421000,PH031400000,PH030000000,no_station
San Rafael,PH031422000,PH031400000,PH030000000,no_station
Santa Maria,PH031423000,PH031400000,PH030000000,no_station
DoÃƒÂ±a Remedios Trinidad,PH031424000,PH031400000,PH030000000,no_station
Aliaga,PH034901000,PH034900000,PH030000000,no_station
Bongabon,PH034902000,PH034900000,PH030000000,no_station
Cabanatuan City,PH034903000,PH034900000,PH030000000,no_station
Cabiao,PH034904000,PH034900000,PH030000000,no_station
Carranglan,PH034905000,PH034900000,PH030000000,no_station
Cuyapo,PH034906000,PH034900000,PH030000000,no_station
Gabaldon,PH034907000,PH034900000,PH030000000,no_station
City of Gapan,PH034908000,PH034900000,PH030000000,no_station
General Mamerto Natividad,PH034909000,PH034900000,PH030000000,no_station
General Tinio,PH034910000,PH034900000,PH030000000,no_station
Guimba,PH034911000,PH034900000,PH030000000,no_station
Jaen,PH034912000,PH034900000,PH030000000,no_station
Diffun,PH025703000,PH025700000,PH020000000,no_station
Maddela,PH025704000,PH025700000,PH020000000,no_station
Saguday,PH025705000,PH025700000,PH020000000,no_station
Nagtipunan,PH025706000,PH025700000,PH020000000,no_station
Abucay,PH030801000,PH030800000,PH030000000,no_station
Bagac,PH030802000,PH030800000,PH030000000,no_station
City of Balanga,PH030803000,PH030800000,PH030000000,no_station
Dinalupihan,PH030804000,PH030800000,PH030000000,no_station
Hermosa,PH030805000,PH030800000,PH030000000,no_station
Limay,PH030806000,PH030800000,PH030000000,no_station
Mariveles,PH030807000,PH030800000,PH030000000,no_station
Morong,PH030808000,PH030800000,PH030000000,no_station
Orani,PH030809000,PH030800000,PH030000000,no_station
Orion,PH030810000,PH030800000,PH030000000,no_station
Pilar,PH030811000,PH030800000,PH030000000,no_station
Samal,PH030812000,PH030800000,PH030000000,no_station
Angat,PH031401000,PH031400000,PH030000000,no_station
Bocaue,PH031404000,PH031400000,PH030000000,no_station
Bulacan,PH031405000,PH031400000,PH030000000,no_station
Bustos,PH031406000,PH031400000,PH030000000,no_station
Calumpit,PH031407000,PH031400000,PH030000000,G1966
Guiguinto,PH031408000,PH031400000,PH030000000,no_station
Hagonoy,PH031409000,PH031400000,PH030000000,G1966
City of Malolos,PH031410000,PH031400000,PH030000000,G1966
Marilao,PH031411000,PH031400000,PH030000000,no_station
City of Meycauayan,PH031412000,PH031400000,PH030000000,no_station
Pulilan,PH031418000,PH031400000,PH030000000,G1966
San Ildefonso,PH031419000,PH031400000,PH030000000,no_station
City of San Jose del Monte,PH031420000,PH031400000,PH030000000,no_station
Lupao,PH034916000,PH034900000,PH030000000,no_station
Nampicuan,PH034918000,PH034900000,PH030000000,no_station
Palayan City,PH034919000,PH034900000,PH030000000,no_station
Pantabangan,PH034920000,PH034900000,PH030000000,no_station
PeÃƒÂ±aranda,PH034921000,PH034900000,PH030000000,no_station
Quezon,PH034922000,PH034900000,PH030000000,no_station
Rizal,PH034923000,PH034900000,PH030000000,no_station
San Antonio,PH034924000,PH034900000,PH030000000,no_station
San Isidro,PH034925000,PH034900000,PH030000000,no_station
San Jose City,PH034926000,PH034900000,PH030000000,no_station
San Leonardo,PH034927000,PH034900000,PH030000000,no_station
Santa Rosa,PH034928000,PH034900000,PH030000000,no_station
Santo Domingo,PH034929000,PH034900000,PH030000000,no_station
Talavera,PH034930000,PH034900000,PH030000000,no_station
Talugtug,PH034931000,PH034900000,PH030000000,no_station
Zaragoza,PH034932000,PH034900000,PH030000000,no_station
Angeles City,PH035401000,PH035400000,PH030000000,no_station
Apalit,PH035402000,PH035400000,PH030000000,G1966
Arayat,PH035403000,PH035400000,PH030000000,no_station
Bacolor,PH035404000,PH035400000,PH030000000,no_station
Candaba,PH035405000,PH035400000,PH030000000,no_station
Floridablanca,PH035406000,PH035400000,PH030000000,no_station
Guagua,PH035407000,PH035400000,PH030000000,no_station
Lubao,PH035408000,PH035400000,PH030000000,no_station
Mabalacat City,PH035409000,PH035400000,PH030000000,no_station
Macabebe,PH035410000,PH035400000,PH030000000,G1966
Magalang,PH035411000,PH035400000,PH030000000,no_station
Masantol,PH035412000,PH035400000,PH030000000,G1966
Mexico,PH035413000,PH035400000,PH030000000,no_station
Minalin,PH035414000,PH035400000,PH030000000,G1966
Porac,PH035415000,PH035400000,PH030000000,no_station
City of San Fernando,PH035416000,PH035400000,PH030000000,no_station
San Luis,PH035417000,PH035400000,PH030000000,G1966
San Simon,PH035418000,PH035400000,PH030000000,G1966
Santa Ana,PH035419000,PH035400000,PH030000000,no_station
Capas,PH036904000,PH036900000,PH030000000,G1967
Concepcion,PH036905000,PH036900000,PH030000000,G1967
Santa Rita,PH035420000,PH035400000,PH030000000,no_station
Sevilla,PH071239000,PH071200000,PH070000000,no_station
Santo Tomas,PH035421000,PH035400000,PH030000000,G1966
Camiling,PH036903000,PH036900000,PH030000000,no_station
Gerona,PH036906000,PH036900000,PH030000000,no_station
La Paz,PH036907000,PH036900000,PH030000000,no_station
Rizal,PH143211000,PH143200000,PH140000000,no_station
City of Tabuk,PH143213000,PH143200000,PH140000000,no_station
Mayantoc,PH036908000,PH036900000,PH030000000,no_station
Pura,PH036911000,PH036900000,PH030000000,no_station
Tanudan,PH143214000,PH143200000,PH140000000,no_station
Moncada,PH036909000,PH036900000,PH030000000,no_station
Paniqui,PH036910000,PH036900000,PH030000000,no_station
San Manuel,PH036914000,PH036900000,PH030000000,no_station
Sadanga,PH144408000,PH144400000,PH140000000,no_station
Ramos,PH036912000,PH036900000,PH030000000,no_station
San Clemente,PH036913000,PH036900000,PH030000000,no_station
San Luis,PH037708000,PH037700000,PH030000000,no_station
Agoncillo,PH041001000,PH041000000,PH040000000,no_station
Santa Ignacia,PH036915000,PH036900000,PH030000000,no_station
Alicia,PH071202000,PH071200000,PH070000000,no_station
City of Tarlac,PH036916000,PH036900000,PH030000000,G1967
Victoria,PH036917000,PH036900000,PH030000000,no_station
Anda,PH071203000,PH071200000,PH070000000,no_station
San Jose,PH036918000,PH036900000,PH030000000,G1967
Botolan,PH037101000,PH037100000,PH030000000,no_station
Cabangan,PH037102000,PH037100000,PH030000000,no_station
Candelaria,PH037103000,PH037100000,PH030000000,no_station
Mataasnakahoy,PH041018000,PH041000000,PH040000000,no_station
Nasugbu,PH041019000,PH041000000,PH040000000,no_station
Candijay,PH071211000,PH071200000,PH070000000,no_station
Castillejos,PH037104000,PH037100000,PH030000000,no_station
Iba,PH037105000,PH037100000,PH030000000,no_station
Masinloc,PH037106000,PH037100000,PH030000000,no_station
Olongapo City,PH037107000,PH037100000,PH030000000,no_station
Palauig,PH037108000,PH037100000,PH030000000,no_station
San Antonio,PH037109000,PH037100000,PH030000000,no_station
San Felipe,PH037110000,PH037100000,PH030000000,no_station
San Marcelino,PH037111000,PH037100000,PH030000000,no_station
Alfonso,PH042101000,PH042100000,PH040000000,no_station
San Narciso,PH037112000,PH037100000,PH030000000,no_station
Santa Cruz,PH037113000,PH037100000,PH030000000,no_station
Subic,PH037114000,PH037100000,PH030000000,no_station
Baler,PH037701000,PH037700000,PH030000000,no_station
Casiguran,PH037702000,PH037700000,PH030000000,no_station
Dilasag,PH037703000,PH037700000,PH030000000,no_station
Dinalungan,PH037704000,PH037700000,PH030000000,no_station
Dingalan,PH037705000,PH037700000,PH030000000,no_station
Dipaculao,PH037706000,PH037700000,PH030000000,no_station
Alitagtag,PH041002000,PH041000000,PH040000000,no_station
Balayan,PH041003000,PH041000000,PH040000000,no_station
Balete,PH041004000,PH041000000,PH040000000,no_station
Batangas City,PH041005000,PH041000000,PH040000000,no_station
Bauan,PH041006000,PH041000000,PH040000000,no_station
Calaca,PH041007000,PH041000000,PH040000000,no_station
Calatagan,PH041008000,PH041000000,PH040000000,no_station
Cuenca,PH041009000,PH041000000,PH040000000,no_station
Ibaan,PH041010000,PH041000000,PH040000000,no_station
Laurel,PH041011000,PH041000000,PH040000000,no_station
Lemery,PH041012000,PH041000000,PH040000000,no_station
Lian,PH041013000,PH041000000,PH040000000,no_station
Lipa City,PH041014000,PH041000000,PH040000000,no_station
Lobo,PH041015000,PH041000000,PH040000000,no_station
Mabini,PH041016000,PH041000000,PH040000000,no_station
Malvar,PH041017000,PH041000000,PH040000000,no_station
Kapalong,PH112305000,PH112300000,PH110000000,no_station
Padre Garcia,PH041020000,PH041000000,PH040000000,no_station
Rosario,PH041021000,PH041000000,PH040000000,no_station
Padada,PH112411000,PH112400000,PH110000000,no_station
Santa Cruz,PH112412000,PH112400000,PH110000000,no_station
San Jose,PH041022000,PH041000000,PH040000000,no_station
San Juan,PH041023000,PH041000000,PH040000000,no_station
San Luis,PH041024000,PH041000000,PH040000000,no_station
Mendez,PH042114000,PH042100000,PH040000000,no_station
Naic,PH042115000,PH042100000,PH040000000,no_station
Noveleta,PH042116000,PH042100000,PH040000000,no_station
San Nicolas,PH041025000,PH041000000,PH040000000,no_station
San Pascual,PH041026000,PH041000000,PH040000000,no_station
Silang,PH042118000,PH042100000,PH040000000,no_station
Dolores,PH045615000,PH045600000,PH040000000,no_station
General Luna,PH045616000,PH045600000,PH040000000,no_station
General Nakar,PH045617000,PH045600000,PH040000000,no_station
Guinayangan,PH045618000,PH045600000,PH040000000,no_station
Gumaca,PH045619000,PH045600000,PH040000000,no_station
Santa Teresita,PH041027000,PH041000000,PH040000000,no_station
Santo Tomas,PH041028000,PH041000000,PH040000000,no_station
Taal,PH041029000,PH041000000,PH040000000,no_station
Talisay,PH041030000,PH041000000,PH040000000,no_station
City of Tanauan,PH041031000,PH041000000,PH040000000,no_station
Taysan,PH041032000,PH041000000,PH040000000,no_station
