manucipalities,placeCode,parentCode,adm1_pcode,glofasStation
Adams,PH012801000,PH012800000,PH010000000,no_station
Bacarra,PH012802000,PH012800000,PH010000000,no_station
Badoc,PH012803000,PH012800000,PH010000000,no_station
Bangui,PH012804000,PH012800000,PH010000000,no_station
City of Batac,PH012805000,PH012800000,PH010000000,no_station
Carasi,PH012807000,PH012800000,PH010000000,no_station
Currimao,PH012808000,PH012800000,PH010000000,no_station
San Nicolas,PH012820000,PH012800000,PH010000000,no_station
Alilem,PH012901000,PH012900000,PH010000000,no_station
Dingras,PH012809000,PH012800000,PH010000000,no_station
Manolo Fortich,PH101314000,PH101300000,PH100000000,no_station
Maramag,PH101315000,PH101300000,PH100000000,no_station
Pangantucan,PH101316000,PH101300000,PH100000000,no_station
Quezon,PH101317000,PH101300000,PH100000000,no_station
Jagna,PH071225000,PH071200000,PH070000000,no_station
Dumalneg,PH012810000,PH012800000,PH010000000,no_station
Banna,PH012811000,PH012800000,PH010000000,no_station
Laoag City,PH012812000,PH012800000,PH010000000,no_station
Kolambugan,PH103508000,PH103500000,PH100000000,no_station
Lala,PH103509000,PH103500000,PH100000000,no_station
Linamon,PH103510000,PH103500000,PH100000000,no_station
Magsaysay,PH103511000,PH103500000,PH100000000,no_station
Maigo,PH103512000,PH103500000,PH100000000,no_station
Matungao,PH103513000,PH103500000,PH100000000,no_station
Munai,PH103514000,PH103500000,PH100000000,no_station
Maribojoc,PH071232000,PH071200000,PH070000000,no_station
Marcos,PH012813000,PH012800000,PH010000000,no_station
Nueva Era,PH012814000,PH012800000,PH010000000,no_station
Pagudpud,PH012815000,PH012800000,PH010000000,no_station
Paoay,PH012816000,PH012800000,PH010000000,no_station
Pasuquin,PH012817000,PH012800000,PH010000000,no_station
Cervantes,PH012908000,PH012900000,PH010000000,no_station
Piddig,PH012818000,PH012800000,PH010000000,no_station
Pinili,PH012819000,PH012800000,PH010000000,no_station
Sarrat,PH012821000,PH012800000,PH010000000,no_station
Vintar,PH012823000,PH012800000,PH010000000,no_station
Balingasag,PH104302000,PH104300000,PH100000000,no_station
Solsona,PH012822000,PH012800000,PH010000000,no_station
Datu Unsay,PH153827000,PH153800000,PH150000000,no_station
Banayoyo,PH012902000,PH012900000,PH010000000,no_station
Lidlidda,PH012911000,PH012900000,PH010000000,no_station
Magsingal,PH012912000,PH012900000,PH010000000,no_station
Danao,PH071218000,PH071200000,PH070000000,no_station
Dauis,PH071219000,PH071200000,PH070000000,no_station
Bantay,PH012903000,PH012900000,PH010000000,no_station
Burgos,PH012904000,PH012900000,PH010000000,no_station
Cabugao,PH012905000,PH012900000,PH010000000,no_station
City of Candon,PH012906000,PH012900000,PH010000000,no_station
Caoayan,PH012907000,PH012900000,PH010000000,no_station
Dimiao,PH071220000,PH071200000,PH070000000,no_station
Duero,PH071221000,PH071200000,PH070000000,no_station
Garcia Hernandez,PH071222000,PH071200000,PH070000000,no_station
Galimuyod,PH012909000,PH012900000,PH010000000,no_station
Gregorio del Pilar,PH012910000,PH012900000,PH010000000,no_station
Guindulman,PH071223000,PH071200000,PH070000000,no_station
Inabanga,PH071224000,PH071200000,PH070000000,no_station
Nagbukel,PH012913000,PH012900000,PH010000000,no_station
Narvacan,PH012914000,PH012900000,PH010000000,no_station
Quirino,PH012915000,PH012900000,PH010000000,no_station
Getafe,PH071226000,PH071200000,PH070000000,no_station
Lila,PH071227000,PH071200000,PH070000000,no_station
Loay,PH071228000,PH071200000,PH070000000,no_station
Medina,PH104319000,PH104300000,PH100000000,no_station
Salcedo,PH012916000,PH012900000,PH010000000,no_station
San Emilio,PH012917000,PH012900000,PH010000000,no_station
San Esteban,PH012918000,PH012900000,PH010000000,no_station
San Ildefonso,PH012919000,PH012900000,PH010000000,no_station
San Juan,PH012920000,PH012900000,PH010000000,no_station
San Vicente,PH012921000,PH012900000,PH010000000,no_station
Santa,PH012922000,PH012900000,PH010000000,no_station
Santa Catalina,PH012923000,PH012900000,PH010000000,no_station
Santa Fe,PH025012000,PH025000000,PH020000000,no_station
Santa Cruz,PH012924000,PH012900000,PH010000000,no_station
Loboc,PH071229000,PH071200000,PH070000000,no_station
Loon,PH071230000,PH071200000,PH070000000,no_station
Mabini,PH071231000,PH071200000,PH070000000,no_station
Santa Lucia,PH012925000,PH012900000,PH010000000,no_station
Santa Maria,PH012926000,PH012900000,PH010000000,no_station
Santiago,PH012927000,PH012900000,PH010000000,no_station
Santo Domingo,PH012928000,PH012900000,PH010000000,no_station
Sigay,PH012929000,PH012900000,PH010000000,no_station
Sinait,PH012930000,PH012900000,PH010000000,no_station
Suyo,PH012932000,PH012900000,PH010000000,no_station
Tagudin,PH012933000,PH012900000,PH010000000,no_station
City of Vigan,PH012934000,PH012900000,PH010000000,no_station
Agoo,PH013301000,PH013300000,PH010000000,no_station
Aringay,PH013302000,PH013300000,PH010000000,no_station
Bacnotan,PH013303000,PH013300000,PH010000000,no_station
