wards,parentCode,placeCode,glofasStation
Angata Nanyukie,KE025134,KE0251340670,no_station
Baawa,KE025134,KE0251340671,no_station
Waso,KE025135,KE0251350672,no_station
Wamba West,KE025135,KE0251350673,no_station
Wamba East,KE025135,KE0251350674,no_station
Wamba North,KE025135,KE0251350675,no_station
West Ugenya,KE041232,KE0412321156,no_station
Ukwala,KE041232,KE0412321157,no_station
North Ugenya,KE041232,KE0412321158,no_station
East Ugenya,KE041232,KE0412321159,no_station
Sidindi,KE041233,KE0412331160,no_station
Sigomere,KE041233,KE0412331161,no_station
Ugunja,KE041233,KE0412331162,no_station
Usonga,KE041234,KE0412341163,no_station
West Alego,KE041234,KE0412341164,no_station
Central Alego,KE041234,KE0412341165,no_station
Siaya Township,KE041234,KE0412341166,no_station
North Alego,KE041234,KE0412341167,no_station
South East Alego,KE041234,KE0412341168,no_station
North Gem,KE041235,KE0412351169,no_station
West Gem,KE041235,KE0412351170,no_station
Central Gem,KE041235,KE0412351171,no_station
Yala Township,KE041235,KE0412351172,no_station
East Gem,KE041235,KE0412351173,no_station
South Gem,KE041235,KE0412351174,no_station
West Yimbo,KE041236,KE0412361175,no_station
Central Sakwa,KE041236,KE0412361176,no_station
South Sakwa,KE041236,KE0412361177,no_station
Yimbo East,KE041236,KE0412361178,no_station
West Sakwa,KE041236,KE0412361179,no_station
North Sakwa,KE041236,KE0412361180,no_station
East Asembo,KE041237,KE0412371181,no_station
West Asembo,KE041237,KE0412371182,no_station
North Uyoma,KE041237,KE0412371183,no_station
South Uyoma,KE041237,KE0412371184,no_station
West Uyoma,KE041237,KE0412371185,no_station
Chala,KE006023,KE0060230111,no_station
Mahoo,KE006023,KE0060230112,no_station
Bomani,KE006023,KE0060230113,no_station
Mboghoni,KE006023,KE0060230114,no_station
Mata,KE006023,KE0060230115,no_station
Wundanyi/Mbale,KE006024,KE0060240116,no_station
Werugha,KE006024,KE0060240117,no_station
Wumigu/Kishushe,KE006024,KE0060240118,no_station
Mwanda/Mgange,KE006024,KE0060240119,no_station
Ronge,KE006025,KE0060250120,no_station
Mwatate,KE006025,KE0060250121,no_station
Bura,KE006025,KE0060250122,no_station
Chawia,KE006025,KE0060250123,no_station
Wusi/Kishamba,KE006025,KE0060250124,no_station
Mbololo,KE006026,KE0060260125,no_station
Sagala,KE006026,KE0060260126,G5142
Kaloleni,KE006026,KE0060260127,no_station
Maungu,KE006026,KE0060260128,no_station
Kasigau,KE006026,KE0060260129,no_station
Ngolia,KE006026,KE0060260130,no_station
Kipini East,KE004018,KE0040180086,no_station
Garsen South,KE004018,KE0040180087,no_station
Kipini West,KE004018,KE0040180088,G5305
Garsen Central,KE004018,KE0040180089,G5305
Garsen West,KE004018,KE0040180090,no_station
Garsen North,KE004018,KE0040180091,G5305
Kinakomba,KE004019,KE0040190092,G5305
Mikinduni,KE004019,KE0040190093,G5305
Chewani,KE004019,KE0040190094,G5305
Wayu,KE004019,KE0040190095,no_station
Chewele,KE004020,KE0040200096,G5305
Hirimani,KE004020,KE0040200097,no_station
Bangale,KE004020,KE0040200098,no_station
Sala,KE004020,KE0040200099,no_station
Madogo,KE004020,KE0040200100,no_station
Mitheru,KE013060,KE0130600296,no_station
Muthambi,KE013060,KE0130600297,no_station
Mwimbi,KE013060,KE0130600298,no_station
Ganga,KE013060,KE0130600299,no_station
Chogoria,KE013060,KE0130600300,no_station
Mariani,KE013061,KE0130610301,no_station
Karingani,KE013061,KE0130610302,no_station
Magumoni,KE013061,KE0130610303,no_station
Mugwe,KE013061,KE0130610304,no_station
Igambang'ombe,KE013061,KE0130610305,no_station
Gatunga,KE013062,KE0130620306,no_station
Mukothima,KE013062,KE0130620307,no_station
Nkondi,KE013062,KE0130620308,no_station
Chiakariga,KE013062,KE0130620309,no_station
Marimanti,KE013062,KE0130620310,no_station
Kapomboi,KE026136,KE0261360676,no_station
Kwanza,KE026136,KE0261360677,no_station
Keiyo,KE026136,KE0261360678,no_station
Bidii,KE026136,KE0261360679,no_station
Chepchoina,KE026137,KE0261370680,no_station
Endebes,KE026137,KE0261370681,no_station
Matumbei,KE026137,KE0261370682,no_station
Kinyoro,KE026138,KE0261380683,no_station
Matisi,KE026138,KE0261380684,no_station
Tuwani,KE026138,KE0261380685,no_station
Saboti,KE026138,KE0261380686,no_station
Machewa,KE026138,KE0261380687,no_station
Kiminini,KE026139,KE0261390688,no_station
Waitaluk,KE026139,KE0261390689,no_station
Sirende,KE026139,KE0261390690,no_station
Hospital,KE026139,KE0261390691,no_station
Sikhendu,KE026139,KE0261390692,no_station
Nabiswa,KE026139,KE0261390693,no_station
Sinyerere,KE026140,KE0261400694,no_station
Makutano,KE026140,KE0261400695,no_station
Kaplamai,KE026140,KE0261400696,no_station
Motosiet,KE026140,KE0261400697,no_station
Cherangany/Suwerwa,KE026140,KE0261400698,no_station
Chepsiro/Kiptoror,KE026140,KE0261400699,no_station
Sitatunga,KE026140,KE0261400700,no_station
Kaeris,KE023123,KE0231230611,no_station
Lakezone,KE023123,KE0231230612,no_station
Lapur,KE023123,KE0231230613,no_station
Kaaleng/Kaikor,KE023123,KE0231230614,no_station
Kibish,KE023123,KE0231230615,no_station
Nakalale,KE023123,KE0231230616,no_station
Kakuma,KE023124,KE0231240617,no_station
Lopur,KE023124,KE0231240618,no_station
Letea,KE023124,KE0231240619,no_station
Songot,KE023124,KE0231240620,no_station
Kalobeyei,KE023124,KE0231240621,no_station
Lokichogio,KE023124,KE0231240622,no_station
Nanaam,KE023124,KE0231240623,no_station
Kerio Delta,KE023125,KE0231250624,no_station
Kangatotha,KE023125,KE0231250625,no_station
Kalokol,KE023125,KE0231250626,no_station
Lodwar Township,KE023125,KE0231250627,no_station
Kanamkemer,KE023125,KE0231250628,no_station
Kotaruk/Lobei,KE023126,KE0231260629,no_station
Turkwel,KE023126,KE0231260630,no_station
Loima,KE023126,KE0231260631,no_station
Lokiriama/Lorengippi,KE023126,KE0231260632,no_station
Kaputir,KE023127,KE0231270633,no_station
Katilu,KE023127,KE0231270634,no_station
Lobokat,KE023127,KE0231270635,no_station
Kalapata,KE023127,KE0231270636,no_station
Lokichar,KE023127,KE0231270637,no_station
Kapedo/Napeitom,KE023128,KE0231280638,no_station
Katilia,KE023128,KE0231280639,no_station
Lokori/Kochodin,KE023128,KE0231280640,no_station
Moi's Bridge,KE027141,KE0271410701,no_station
Kapkures,KE027141,KE0271410702,no_station
Ziwa,KE027141,KE0271410703,no_station
Segero/Barsombe,KE027141,KE0271410704,no_station
Kipsomba,KE027141,KE0271410705,no_station
Soy,KE027141,KE0271410706,no_station
Kuinet/Kapsuswa,KE027141,KE0271410707,no_station
Ngenyilel,KE027142,KE0271420708,no_station
Tapsagoi,KE027142,KE0271420709,no_station
Kamagut,KE027142,KE0271420710,no_station
Kiplombe,KE027142,KE0271420711,no_station
Kapsaos,KE027142,KE0271420712,no_station
Huruma,KE027142,KE0271420713,no_station
Tembelio,KE027143,KE0271430714,no_station
Sergoit,KE027143,KE0271430715,no_station
Karuna/Meibeki,KE027143,KE0271430716,no_station
Moiben,KE027143,KE0271430717,no_station
Kimumu,KE027143,KE0271430718,no_station
Kapsoya,KE027144,KE0271440719,no_station
Kaptagat,KE027144,KE0271440720,no_station
Ainabkoi/Olare,KE027144,KE0271440721,no_station
Simat/Kapseret,KE027145,KE0271450722,no_station
Kipkenyo,KE027145,KE0271450723,no_station
Ngeria,KE027145,KE0271450724,no_station
Megun,KE027145,KE0271450725,no_station
Langas,KE027145,KE0271450726,no_station
Racecourse,KE027146,KE0271460727,no_station
Cheptiret/Kipchamo,KE027146,KE0271460728,no_station
Tulwet/Chiyat,KE027146,KE0271460729,no_station
Tarakwa,KE027146,KE0271460730,no_station
Lugaga/Wamuluma,KE038211,KE0382111051,no_station
South Maragoli,KE038211,KE0382111052,no_station
Central Maragoli,KE038211,KE0382111053,no_station
Mungoma,KE038211,KE0382111054,no_station
Lyaywa/Izava,KE038212,KE0382121055,no_station
Sabatia West,KE038212,KE0382121056,no_station
Chavakali,KE038212,KE0382121057,no_station
North Maragoli,KE038212,KE0382121058,no_station
Wodanga,KE038212,KE0382121059,no_station
Busali,KE038212,KE0382121060,no_station
Shiru,KE038213,KE0382131061,no_station
Gisambai,KE038213,KE0382131062,no_station
Shamakhokho,KE038213,KE0382131063,no_station
Banja,KE038213,KE0382131064,no_station
Muhudu,KE038213,KE0382131065,no_station
Tambua,KE038213,KE0382131066,no_station
Jepkoyai,KE038213,KE0382131067,no_station
Luanda Township,KE038214,KE0382141068,no_station
Wemilabi,KE038214,KE0382141069,no_station
Mwibona,KE038214,KE0382141070,no_station
Luanda South,KE038214,KE0382141071,no_station
Emabungo,KE038214,KE0382141072,no_station
North East Bunyore,KE038215,KE0382151073,no_station
Central Bunyore,KE038215,KE0382151074,no_station
West Bunyore,KE038215,KE0382151075,no_station
Gurar,KE008033,KE0080330161,no_station
Bute,KE008033,KE0080330162,no_station
Korondile,KE008033,KE0080330163,no_station
Malkagufu,KE008033,KE0080330164,no_station
Batalu,KE008033,KE0080330165,no_station
Danaba,KE008033,KE0080330166,no_station
Godoma,KE008033,KE0080330167,no_station
Wagberi,KE008034,KE0080340168,no_station
Township,KE008034,KE0080340169,no_station
Barwaqo,KE008034,KE0080340170,no_station
Khorof/Harar,KE008034,KE0080340171,no_station
Elben,KE008035,KE0080350172,no_station
Sarman,KE008035,KE0080350173,no_station
Tarbaj,KE008035,KE0080350174,no_station
Wargadud,KE008035,KE0080350175,no_station
Arbajahan,KE008036,KE0080360176,no_station
Hadado/Athibohol,KE008036,KE0080360177,no_station
Ademasajide,KE008036,KE0080360178,no_station
Ganyure,KE008036,KE0080360179,no_station
Wagalla,KE008036,KE0080360180,no_station
Eldas,KE008037,KE0080370181,no_station
Della,KE008037,KE0080370182,no_station
Elnur/Tula Tula,KE008037,KE0080370183,no_station
Benane,KE008038,KE0080380184,no_station
Bur-Der,KE008038,KE0080380185,no_station
Dadaja Bulla,KE008038,KE0080380186,no_station
Habaswein,KE008038,KE0080380187,no_station
Lagboghol South,KE008038,KE0080380188,no_station
Ibrahim Ure,KE008038,KE0080380189,no_station
Diff,KE008038,KE0080380190,no_station
Riwo,KE024129,KE0241290641,no_station
Kapenguria,KE024129,KE0241290642,no_station
Mnangei,KE024129,KE0241290643,no_station
Siyoi,KE024129,KE0241290644,no_station
Endugh,KE024129,KE0241290645,no_station
Sook,KE024129,KE0241290646,no_station
Sekerr,KE024130,KE0241300647,no_station
Masool,KE024130,KE0241300648,no_station
Lomut,KE024130,KE0241300649,no_station
Wei Wei,KE024130,KE0241300650,no_station
Suam,KE024131,KE0241310651,no_station
Kodich,KE024131,KE0241310652,no_station
Kasei,KE024131,KE0241310653,no_station
Kapchok,KE024131,KE0241310654,no_station
Kiwawa,KE024131,KE0241310655,no_station
Alale,KE024131,KE0241310656,no_station
Chepareria,KE024132,KE0241320657,no_station
Batei,KE024132,KE0241320658,no_station
Lelan,KE024132,KE0241320659,no_station
Tapach,KE024132,KE0241320660,no_station
