placeName,placeCode,parentCode,glofasStation
Chiputula Ward,MW10734,MW107,no_station
Chiradzulu Boma,MW30420,MW304,no_station
Chirunga East Ward,MW31436,MW314,no_station
Chirunga Ward,MW31437,MW314,no_station
Chitipa Boma,MW10120,MW101,no_station
Dedza Boma,MW20820,MW208,no_station
Dowa Boma,MW20420,MW204,no_station
Jombo Ward,MW10738,MW107,no_station
Kaning'ina Ward,MW10743,MW107,no_station
Karonga Town,MW10220,MW102,no_station
Kasungu Boma,MW20120,MW201,no_station
Kasungu National Park,MW20115,MW201,no_station
Katawa Ward,MW10741,MW107,no_station
Katoto Ward,MW10737,MW107,no_station
Lake Chilwa,MW30399,MW303,no_station
Lake Chilwa,MW30904,MW309,no_station
Lake Chiuta,MW30299,MW302,no_station
Lake Malawi Natl. Park - Mangochi,MW30111,MW301,no_station
Lake Malawi Natl. Park - Salima,MW20511,MW205,no_station
Lake Malombe,MW30199,MW301,no_station
Lengwe National Park,MW31008,MW310,no_station
Likangala Central Ward,MW31443,MW314,no_station
Likangala South Ward,MW31444,MW314,no_station
Likangala Ward,MW31438,MW314,no_station
Likhubula Ward,MW31539,MW315,no_station
Likoma Boma,MW10620,MW106,no_station
Limbe Central Ward,MW31549,MW315,no_station
Limbe East Ward,MW31548,MW315,no_station
Limbe West Ward,MW31550,MW315,no_station
Liwonde National Park,MW30213,MW302,no_station
Liwonde Town,MW30222,MW302,no_station
Luchenza Town,MW30721,MW307,no_station
Lupaso Ward,MW10732,MW107,no_station
Machinga Boma,MW30220,MW302,no_station
Majete Game Reserve - Chikwawa,MW31009,MW310,no_station
Majete Game Reserve - Neno,MW31305,MW313,no_station
Mangochi Town,MW30120,MW301,no_station
Mapanga Ward,MW31533,MW315,no_station
Masasa Ward,MW10742,MW107,no_station
Masongola Ward,MW31433,MW314,no_station
Mbedza Ward,MW31431,MW314,no_station
Mchengautuwa Ward,MW10736,MW107,no_station
Mchinji Boma,MW20720,MW207,no_station
Michiru Ward,MW31531,MW315,no_station
Misesa Ward,MW31554,MW315,no_station
Monkey Bay Urban,MW30121,MW301,no_station
Msamba Ward,MW31556,MW315,no_station
Msongwe Ward,MW10745,MW107,no_station
Mtiya Ward,MW31432,MW314,no_station
Mulanje Boma,MW30820,MW308,no_station
Mulanje Mountain Reserve,MW30807,MW308,no_station
Muzilawayingwe Ward,MW10739,MW107,no_station
Mwabvi Game Reserve,MW31110,MW311,no_station
Mwanza Boma,MW30620,MW306,no_station
Mzedi Ward,MW31545,MW315,no_station
Mzimba Boma,MW10520,MW105,no_station
Namiyango Ward,MW31547,MW315,no_station
Nancholi Ward,MW31553,MW315,no_station
Ndirande North Ward,MW31535,MW315,no_station
Ndirande South Ward,MW31536,MW315,no_station
Ndirande West Ward,MW31537,MW315,no_station
Neno Boma,MW31320,MW313,no_station
New Airport Site Ward,MW10746,MW107,no_station
Nkhata Bay Boma,MW10320,MW103,no_station
Nkhorongo Ward,MW10731,MW107,no_station
Nkhotakota Boma,MW20220,MW202,no_station
Nkhotakota Game Reserve,MW20207,MW202,no_station
Nkolokoti Ward,MW31534,MW315,no_station
Nsanje Boma,MW31120,MW311,no_station
Ntcheu Boma,MW20920,MW209,no_station
Ntchisi Boma,MW20320,MW203,no_station
Nyambadwe Ward,MW31538,MW315,no_station
Nyika National Park - Chitipa,MW10106,MW101,no_station
Nyika National Park - Karonga,MW10206,MW102,no_station
Nyika National Park - Rumphi,MW10410,MW104,no_station
Phalombe Boma,MW30920,MW309,no_station
Rumphi Boma,MW10420,MW104,no_station
Sadzi Ward,MW31442,MW314,no_station
Salima Town,MW20520,MW205,no_station
SC Chakhaza,MW20402,MW204,no_station
SC Chamba,MW30204,MW302,no_station
SC Champiti,MW20905,MW209,no_station
SC Chapinduka,MW10406,MW104,no_station
SC Chauma,MW20805,MW208,no_station
SC Chikweo,MW30207,MW302,no_station
SC Chilikumwendo,MW20802,MW208,no_station
SC Chilooko,MW20305,MW203,no_station
SC Chilowamatambe,MW20109,MW201,no_station
SC Chisikwa,MW20104,MW201,no_station
SC Chitekwele,MW20605,MW206,no_station
SC Chiwalo,MW30209,MW302,no_station
SC Chowe,MW30106,MW301,no_station
SC Dambe,MW20706,MW207,no_station
SC Fukamalaza,MW10307,MW103,no_station
SC Goodson Ganya,MW20908,MW209,no_station
SC Jaravikuba Munthali,MW10504,MW105,no_station
SC Juma,MW30806,MW308,no_station
SC Kachulu,MW10405,MW104,no_station
SC Kafuzila,MW20202,MW202,no_station
SC Kambalame,MW20506,MW205,no_station
SC Kambwiri,MW20504,MW205,no_station
SC Kamenya Gwaza,MW20808,MW208,no_station
SC Kampingo Sibande,MW10503,MW105,no_station
SC Kawamba,MW20107,MW201,no_station
SC Kayembe,MW20403,MW204,no_station
SC Khosolo Gwaza Jere,MW10508,MW105,no_station
SC Kwethemule,MW30706,MW307,no_station
SC Laston Njema,MW30802,MW308,no_station
SC Lukwa,MW20106,MW201,no_station
SC M'nyanja,MW20103,MW201,no_station
SC Makoka,MW31109,MW311,no_station
SC Makwangwala,MW20904,MW209,no_station
SC Malanda,MW10304,MW103,no_station
SC Mavwere,MW20702,MW207,no_station
SC Mbawela,MW30703,MW307,G5670
SC Mbenje,MW31106,MW311,G1724
SC Mbiza,MW30305,MW303,no_station
SC Mbwana Nyambi,MW30105,MW301,no_station
SC Mduwa,MW20704,MW207,no_station
SC Mkondowe,MW10311,MW103,no_station
SC Mkukula,MW20405,MW204,no_station
SC Mkumbira,MW10308,MW103,no_station
SC Mkumbira,MW30303,MW303,no_station
SC Mlomba,MW30206,MW302,no_station
SC Mphonde,MW20204,MW202,no_station
SC Mphuka,MW30705,MW307,no_station
SC Mponela,MW20407,MW204,no_station
SC Mposa,MW30205,MW302,no_station
SC Msosa,MW20510,MW205,no_station
SC Mtema,MW20609,MW206,no_station
SC Mwahenga,MW10403,MW104,no_station
SC Mwakaboko,MW10202,MW102,no_station
SC Mwalweni,MW10404,MW104,no_station
SC Mwankhunikira,MW10407,MW104,no_station
SC Mwansambo,MW20206,MW202,no_station
SC Mwanza,MW20508,MW205,no_station
SC Mwirang'ombe,MW10205,MW102,no_station
SC Namabvi,MW30109,MW301,no_station
SC Ngokwe,MW30208,MW302,no_station
SC Njewa,MW20613,MW206,no_station
SC Njombwa,MW20108,MW201,no_station
SC Nthondo,MW20303,MW203,no_station
SC Nyaluwanga,MW10310,MW103,no_station
SC Simlemba,MW20102,MW201,no_station
SC Sitola,MW30202,MW302,no_station
SC Thukuta,MW30702,MW307,no_station
SC Tsabango,MW20611,MW206,no_station
SC Zilakoma,MW10305,MW103,no_station
Soche East Ward,MW31551,MW315,no_station
Soche West Ward,MW31552,MW315,no_station
South Lunzu Ward,MW31532,MW315,no_station
TA Boghoyo,MW10313,MW103,no_station
TA Bvumbwe,MW30710,MW307,no_station
TA Chadza,MW20601,MW206,no_station
TA Chakhumbira,MW20907,MW209,no_station
TA Changata,MW30704,MW307,no_station
TA Chapananga,MW31003,MW310,no_station
TA Chigaru,MW30503,MW305,no_station
TA Chikho,MW20302,MW203,no_station
TA Chikowi,MW30304,MW303,no_station
TA Chikulamayembe,MW10401,MW104,no_station
TA Chikumbu,MW30803,MW308,no_station
TA Chimaliro,MW30709,MW307,no_station
TA Chimombo,MW31102,MW311,no_station
TA Chimutu,MW20607,MW206,no_station
TA Chimwala,MW30102,MW301,no_station
TA Chindi,MW10505,MW105,no_station
TA Chiseka,MW20603,MW206,no_station
TA Chitera,MW30405,MW304,no_station
TA Chitukula,MW20608,MW206,no_station
TA Chiwalo,MW30903,MW309,no_station
TA Chiwere,MW20404,MW204,no_station
TA Chulu,MW20110,MW201,no_station
TA Dambe,MW31301,MW313,no_station
TA Dzoole,MW20401,MW204,no_station
TA Fukamapiri,MW10302,MW103,no_station
TA Jalasi,MW30104,MW301,no_station
TA Kabudula,MW20615,MW206,no_station
TA Kabunduli,MW10301,MW103,no_station
TA Kachindamoto,MW20807,MW208,no_station
TA Kadewere,MW30403,MW304,no_station
TA Kalembo,MW31204,MW312,no_station
TA Kalolo,MW20602,MW206,no_station
TA Kaluluma,MW20101,MW201,no_station
TA Kalumba,MW20612,MW206,no_station
