name,placeCode,placeCodeParent,glofasStation
Bungu,SS010101,SS0101,no_station
Dolo,SS010102,SS0101,no_station
Ganji,SS010103,SS0101,no_station
Gondokoro,SS010104,SS0101,no_station
Juba Town,SS010105,SS0101,no_station
Kator,SS010106,SS0101,no_station
Lirya,SS010107,SS0101,no_station
Lobonok,SS010108,SS0101,no_station
Lokiliri,SS010109,SS0101,no_station
Mangala North,SS010110,SS0101,no_station
Mangala South,SS010111,SS0101,no_station
Munuki,SS010112,SS0101,no_station
Northern Bari,SS010113,SS0101,no_station
Rejaf,SS010114,SS0101,no_station
Rokon,SS010115,SS0101,no_station
Tijor,SS010116,SS0101,no_station
Wonduruba,SS010117,SS0101,no_station
Kangapo I,SS010201,SS0102,no_station
Kangapo II,SS010202,SS0102,no_station
Lire,SS010203,SS0102,no_station
Liwolo,SS010204,SS0102,no_station
Nyepo,SS010205,SS0102,no_station
Kenyi,SS010301,SS0103,no_station
Kupera,SS010302,SS0103,no_station
Lainya,SS010303,SS0103,no_station
Mukaya,SS010304,SS0103,no_station
Wuji,SS010305,SS0103,no_station
Gulumbi,SS010401,SS0104,no_station
Kimba,SS010402,SS0104,no_station
Lujulo,SS010403,SS0104,no_station
Panyume,SS010404,SS0104,no_station
Wudabi,SS010405,SS0104,no_station
Gameiza,SS010501,SS0105,no_station
Muni,SS010502,SS0105,no_station
Nyori,SS010503,SS0105,no_station
Reggo,SS010504,SS0105,no_station
Rijong,SS010505,SS0105,no_station
Tali,SS010506,SS0105,no_station
Terekeka,SS010507,SS0105,no_station
Tindilo,SS010508,SS0105,no_station
Tombek,SS010509,SS0105,no_station
Lasu,SS010601,SS0106,no_station
Mugwo,SS010602,SS0106,no_station
Otogo,SS010603,SS0106,no_station
Tore,SS010604,SS0106,no_station
Yei,SS010605,SS0106,no_station
Kimotong,SS020101,SS0201,no_station
Komori,SS020102,SS0201,no_station
Loriyok,SS020103,SS0201,no_station
Lotukei,SS020104,SS0201,no_station
Loudo,SS020105,SS0201,no_station
Nagishot,SS020106,SS0201,no_station
Napak,SS020107,SS0201,no_station
Nauro,SS020108,SS0201,no_station
Hatire,SS020201,SS0202,no_station
Ikotos,SS020202,SS0202,no_station
Imotong,SS020203,SS0202,no_station
Lomohidang North,SS020204,SS0202,no_station
Lomohidang South,SS020205,SS0202,no_station
Losite,SS020206,SS0202,no_station
Jie,SS020301,SS0203,no_station
Katodori,SS020302,SS0203,no_station
Kauto,SS020303,SS0203,no_station
Lotimor,SS020304,SS0203,no_station
Mogos,SS020305,SS0203,no_station
Narus,SS020306,SS0203,no_station
Natinga,SS020307,SS0203,no_station
Chumakori,SS020401,SS0204,no_station
Karukomuge,SS020402,SS0204,no_station
Lomeyen,SS020403,SS0204,no_station
Mosingo,SS020404,SS0204,no_station
Najie,SS020405,SS0204,no_station
Paringa,SS020406,SS0204,no_station
Kapoeta Town,SS020501,SS0205,no_station
Longeleya,SS020502,SS0205,no_station
Machi One,SS020503,SS0205,no_station
Machi Two,SS020504,SS0205,no_station
Pwata,SS020505,SS0205,no_station
Arihilo,SS020601,SS0206,no_station
Burgilo,SS020602,SS0206,no_station
Imehejek,SS020603,SS0206,no_station
Kurumi,SS020604,SS0206,no_station
Lohutok,SS020605,SS0206,no_station
Longiro,SS020606,SS0206,no_station
Marguna,SS020607,SS0206,no_station
Pachidi,SS020608,SS0206,no_station
Lobone,SS020701,SS0207,no_station
Magwi,SS020702,SS0207,no_station
Mugali,SS020703,SS0207,no_station
Nimule,SS020704,SS0207,no_station
Pageri,SS020705,SS0207,no_station
Pajok,SS020706,SS0207,no_station
Bur,SS020801,SS0208,no_station
Himodonge,SS020802,SS0208,no_station
Hiyala,SS020803,SS0208,no_station
Ifwotu,SS020804,SS0208,no_station
Imurok,SS020805,SS0208,no_station
Kudo,SS020806,SS0208,no_station
Torit,SS020807,SS0208,no_station
Alali,SS030101,SS0301,no_station
Barmach,SS030102,SS0301,no_station
Bilkey,SS030103,SS0301,no_station
Buong,SS030104,SS0301,no_station
Dengjok,SS030105,SS0301,no_station
Diror,SS030106,SS0301,no_station
Nyandit,SS030107,SS0301,no_station
Walgak,SS030108,SS0301,no_station
Ayod,SS030201,SS0302,no_station
Kuach-deng,SS030202,SS0302,no_station
Kurwai,SS030203,SS0302,no_station
Mogok,SS030204,SS0302,no_station
Pagil,SS030205,SS0302,no_station
Pajiek,SS030206,SS0302,no_station
Wau,SS030207,SS0302,no_station
Anyidi,SS030301,SS0303,no_station
Baidit,SS030302,SS0303,no_station
Bor,SS030303,SS0303,G5100
Jalle,SS030304,SS0303,no_station
Kolnyang,SS030305,SS0303,no_station
Makuach,SS030306,SS0303,no_station
Alam,SS030401,SS0304,no_station
Atar,SS030402,SS0304,no_station
Belewach,SS030403,SS0304,no_station
Kaldak,SS030404,SS0304,no_station
Korwach,SS030405,SS0304,no_station
Mareng,SS030406,SS0304,no_station
Nyainthokmalual,SS030407,SS0304,no_station
Wunlem,SS030408,SS0304,no_station
Ageer,SS030501,SS0305,no_station
Dongchak,SS030502,SS0305,no_station
Padiet,SS030503,SS0305,no_station
Pagak,SS030504,SS0305,no_station
Panyang,SS030505,SS0305,no_station
Payuel,SS030506,SS0305,no_station
Manajang,SS030601,SS0306,no_station
Mareang,SS030602,SS0306,no_station
Old Fangak,SS030603,SS0306,no_station
Paguir,SS030604,SS0306,no_station
Phom,SS030605,SS0306,no_station
Chuil,SS030701,SS0307,no_station
Nyambor,SS030702,SS0307,no_station
Pading,SS030703,SS0307,no_station
Pulturuk,SS030704,SS0307,no_station
Thol,SS030705,SS0307,no_station
Waat,SS030706,SS0307,no_station
Boma,SS030801,SS0308,no_station
Gumuruk,SS030802,SS0308,no_station
Kiziongora,SS030803,SS0308,no_station
Lekuangole,SS030804,SS0308,no_station
Marow,SS030805,SS0308,no_station
Mewun,SS030806,SS0308,no_station
Pibor,SS030807,SS0308,no_station
Verteth,SS030808,SS0308,no_station
Adongo,SS030901,SS0309,no_station
Akiela,SS030902,SS0309,no_station
Burator,SS030903,SS0309,no_station
Omiela,SS030904,SS0309,no_station
Pochalla,SS030905,SS0309,no_station
Ajuong,SS031001,SS0310,no_station
Kongor,SS031002,SS0310,no_station
Lith,SS031003,SS0310,no_station
Nyuak,SS031004,SS0310,no_station
Pakeer,SS031005,SS0310,no_station
Karam,SS031101,SS0311,no_station
Motot,SS031102,SS0311,no_station
Pathai,SS031103,SS0311,no_station
Payai,SS031104,SS0311,no_station
Pieri,SS031105,SS0311,no_station
Puolchuol,SS031106,SS0311,no_station
Tiam,SS031107,SS0311,no_station
Uror,SS031108,SS0311,no_station
Abuyong,SS040101,SS0401,no_station
Alel I,SS040102,SS0401,no_station
Alel II,SS040103,SS0401,no_station
Bun-agok,SS040104,SS0401,no_station
Dor,SS040105,SS0401,no_station
Magok,SS040106,SS0401,no_station
Nile,SS040107,SS0401,no_station
Puluk,SS040108,SS0401,no_station
Abiriu,SS040201,SS0402,no_station
Citcok,SS040202,SS0402,no_station
Duony,SS040203,SS0402,no_station
Malou Pec,SS040204,SS0402,no_station
Ngap,SS040205,SS0402,no_station
Ngap 1,SS040206,SS0402,no_station
Pagor,SS040207,SS0402,no_station
Amongpiny,SS040301,SS0403,no_station
Jiir,SS040302,SS0403,no_station
Malek 2,SS040303,SS0403,no_station
Matangai,SS040304,SS0403,no_station
Mayom,SS040305,SS0403,no_station
Aduel,SS040401,SS0404,no_station
Akot,SS040402,SS0404,no_station
Atiaba,SS040403,SS0404,no_station
Cueicok,SS040404,SS0404,no_station
Maleng-agok,SS040405,SS0404,no_station
Pacong,SS040406,SS0404,no_station
Paloch,SS040407,SS0404,no_station
Aloor,SS040501,SS0405,no_station
Madol,SS040502,SS0405,no_station
Malueeth,SS040503,SS0405,no_station
Maper,SS040504,SS0405,no_station
Mayen,SS040505,SS0405,no_station
Wun-rieng,SS040506,SS0405,no_station
Bargel,SS040601,SS0406,no_station
Domoloto,SS040602,SS0406,no_station
Makundi,SS040603,SS0406,no_station
Wulu,SS040604,SS0406,no_station
Adior,SS040701,SS0407,no_station
Lekakedu,SS040702,SS0407,no_station
Malek,SS040703,SS0407,no_station
Pagarau,SS040704,SS0407,no_station
Tinagau,SS040705,SS0407,no_station
Yali,SS040706,SS0407,no_station
Abang,SS040801,SS0408,no_station
Aluakluak,SS040802,SS0408,no_station
Anuol,SS040803,SS0408,no_station
Geng-geng,SS040804,SS0408,no_station
Gher,SS040805,SS0408,no_station
Mapuordit,SS040806,SS0408,no_station
Yirol,SS040807,SS0408,no_station
Abul,SS050101,SS0501,no_station
Achana,SS050102,SS0501,no_station
Aroyo,SS050103,SS0501,no_station
Awiil,SS050104,SS0501,no_station
Bahr Mayen,SS050105,SS0501,no_station
Chel South,SS050106,SS0501,no_station
Nyalath,SS050107,SS0501,no_station
Baach,SS050201,SS0502,no_station
