,name,placeCodenew,glofasStation,Level,shapeGroup,placeCode,placeCodeParent1
19,South Kanyamkago Ward,KEN-ADM3-25604234B79683195,no_station,ADM3,KEN,KE0442571280,KE044257
20,East Kanyamkago Ward,KEN-ADM3-25604234B74293303,no_station,ADM3,KEN,KE0442571281,KE044257
21,Kachieng' Ward,KEN-ADM3-25604234B26778872,no_station,ADM3,KEN,KE0442581282,KE044258
22,Masaba Ward,KEN-ADM3-25604234B8914818,no_station,ADM3,KEN,KE0442591293,KE044259
23,Ntimaru West Ward,KEN-ADM3-25604234B48943084,no_station,ADM3,KEN,KE0442601297,KE044260
24,Mathatani Ward,KEN-ADM3-25604234B10341741,no_station,ADM3,KEN,KE0160800396,KE016080
25,Syokimau-mulolongo Ward,KEN-ADM3-25604234B73258899,no_station,ADM3,KEN,KE0160800397,KE016080
26,Kalama Ward,KEN-ADM3-25604234B45918889,no_station,ADM3,KEN,KE0160810398,KE016081
27,Mua Ward,KEN-ADM3-25604234B24913789,no_station,ADM3,KEN,KE0160810399,KE016081
28,Mutituni Ward,KEN-ADM3-25604234B44905463,no_station,ADM3,KEN,KE0160810400,KE016081
29,Township Ward,KEN-ADM3-25604234B2102823,no_station,ADM3,KEN,KE0160810401,KE016081
30,Mumbuni North Ward,KEN-ADM3-25604234B35718281,no_station,ADM3,KEN,KE0160810402,KE016081
31,Muvuti-kiima-kimwe Ward,KEN-ADM3-25604234B1009802,no_station,ADM3,KEN,KE0160810403,KE016081
32,Kola Ward,KEN-ADM3-25604234B76138123,no_station,ADM3,KEN,KE0160810404,KE016081
33,Mbiuni Ward,KEN-ADM3-25604234B50401398,no_station,ADM3,KEN,KE0160820405,KE016082
34,Makutano-mwala Ward,KEN-ADM3-25604234B18844588,no_station,ADM3,KEN,KE0160820406,KE016082
35,Masii Ward,KEN-ADM3-25604234B21018558,no_station,ADM3,KEN,KE0160820407,KE016082
36,Muthetheni Ward,KEN-ADM3-25604234B52056312,no_station,ADM3,KEN,KE0160820408,KE016082
37,Wamunyu Ward,KEN-ADM3-25604234B31523227,no_station,ADM3,KEN,KE0160820409,KE016082
38,Kibauni Ward,KEN-ADM3-25604234B56660792,no_station,ADM3,KEN,KE0160820410,KE016082
39,West Kasipul Ward,KEN-ADM3-25604234B62477978,no_station,ADM3,KEN,KE0432451221,KE043245
40,South Kasipul Ward,KEN-ADM3-25604234B39066709,no_station,ADM3,KEN,KE0432451222,KE043245
41,Central Kasipul Ward,KEN-ADM3-25604234B56993748,no_station,ADM3,KEN,KE0432451223,KE043245
42,East Kamagak Ward,KEN-ADM3-25604234B67835203,no_station,ADM3,KEN,KE0432451224,KE043245
43,West Kamagak Ward,KEN-ADM3-25604234B99224172,no_station,ADM3,KEN,KE0432451225,KE043245
44,Kabondo East Ward,KEN-ADM3-25604234B47671017,no_station,ADM3,KEN,KE0432461226,KE043246
45,Kabondo West Ward,KEN-ADM3-25604234B38723406,no_station,ADM3,KEN,KE0432461227,KE043246
46,Kokwanyo/kakelo Ward,KEN-ADM3-25604234B1857882,no_station,ADM3,KEN,KE0432461228,KE043246
47,Kojwach Ward,KEN-ADM3-25604234B65536525,no_station,ADM3,KEN,KE0432461229,KE043246
48,West Karachuonyo Ward,KEN-ADM3-25604234B85991186,no_station,ADM3,KEN,KE0432471230,KE043247
49,North Karachuonyo Ward,KEN-ADM3-25604234B52885654,no_station,ADM3,KEN,KE0432471231,KE043247
50,Central Ward,KEN-ADM3-25604234B83950184,no_station,ADM3,KEN,KE0432471232,KE043247
51,Kanyaluo Ward,KEN-ADM3-25604234B16874097,no_station,ADM3,KEN,KE0432471233,KE043247
52,Kagan Ward,KEN-ADM3-25604234B48722850,no_station,ADM3,KEN,KE0432481239,KE043248
53,Kochia Ward,KEN-ADM3-25604234B54669481,no_station,ADM3,KEN,KE0432481240,KE043248
54,Homa Bay Central Ward,KEN-ADM3-25604234B24735916,no_station,ADM3,KEN,KE0432491241,KE043249
55,Homa Bay Arujo Ward,KEN-ADM3-25604234B43254257,no_station,ADM3,KEN,KE0432491242,KE043249
56,Homa Bay East Ward,KEN-ADM3-25604234B63441031,no_station,ADM3,KEN,KE0432491244,KE043249
57,Kwabwai Ward,KEN-ADM3-25604234B79205479,no_station,ADM3,KEN,KE0432501245,KE043250
58,Kanyadoto Ward,KEN-ADM3-25604234B43679626,no_station,ADM3,KEN,KE0432501246,KE043250
59,Kanyikela Ward,KEN-ADM3-25604234B32284356,no_station,ADM3,KEN,KE0432501247,KE043250
60,Kabouch North Ward,KEN-ADM3-25604234B90209190,no_station,ADM3,KEN,KE0432501248,KE043250
61,Kabuoch South/pala Ward,KEN-ADM3-25604234B47933854,no_station,ADM3,KEN,KE0432501249,KE043250
62,Kanyamwa Kosewe Ward,KEN-ADM3-25604234B11871079,no_station,ADM3,KEN,KE0432501251,KE043250
63,Mfangano Island Ward,KEN-ADM3-25604234B44067135,no_station,ADM3,KEN,KE0432511252,KE043251
64,Rusinga Island Ward,KEN-ADM3-25604234B42101359,no_station,ADM3,KEN,KE0432511253,KE043251
65,Kasgunga Ward,KEN-ADM3-25604234B18915748,no_station,ADM3,KEN,KE0432511254,KE043251
66,Chavakali Ward,KEN-ADM3-25604234B28944856,no_station,ADM3,KEN,KE0382121057,KE038212
67,Busali Ward,KEN-ADM3-25604234B50777958,no_station,ADM3,KEN,KE0382121060,KE038212
