placeCode,ADM2_PCODE,name,PROVINCE,glofasStation
ZM100414318,ZM1004,Mongu,Western,G1328
ZM050307101,ZM0503,Luangwa,Lusaka,G1353
ZM050307113,ZM0503,Luangwa,Lusaka,G1353
ZM100615020,ZM1006,Sesheke,Western,G1361
ZM050407605,ZM0504,Lusaka,Lusaka,G1351
ZM050408025,ZM0504,Lusaka,Lusaka,G1351
ZM050407917,ZM0504,Lusaka,Lusaka,G1351
ZM050107309,ZM0501,Chongwe,Lusaka,G1353
ZM050107310,ZM0501,Chongwe,Lusaka,G1353
ZM100514614,ZM1005,Senanga,Western,G1361
ZM100113506,ZM1001,Kalabo,Western,G1328
ZM100113413,ZM1001,Kalabo,Western,G1328
ZM060208412,ZM0602,Chinsali,Muchiga,G1269
ZM100213812,ZM1002,Kaoma,Western,G1319
ZM050107412,ZM0501,Chongwe,Lusaka,G1353
ZM010200519,ZM0102,Kabwe,Central,G1344
ZM010200408,ZM0102,Kabwe,Central,G1344
ZM100314001,ZM1003,Lukulu,Western,G1328
ZM010300607,ZM0103,Kapiri Mposhi,Central,G1312
ZM010601202,ZM0106,Serenje,Central,no_station
