placeCode,ADM2_PCODE,name,PROVINCE,glofasStation
ZM080310519,ZM0803,Kabompo,North-Western,G1319
ZM040706808,ZM0407,Samfya,Luapula,no_station
ZM040106505,ZM0401,Chienge,Luapula,no_station
ZM021003314,ZM0210,Ndola,Copperbelt,G1312
ZM040106508,ZM0401,Chienge,Luapula,no_station
ZM090111714,ZM0901,Choma,Southern,G1351
ZM021003628,ZM0210,Ndola,Copperbelt,G1312
ZM040706803,ZM0407,Samfya,Luapula,no_station
ZM040706802,ZM0407,Samfya,Luapula,no_station
ZM080310513,ZM0803,Kabompo,North-Western,G1319
ZM090512105,ZM0905,Kazungula,Southern,G5696
ZM090612311,ZM0906,Livingstone,Southern,no_station
ZM090612313,ZM0906,Livingstone,Southern,no_station
ZM090612306,ZM0906,Livingstone,Southern,no_station
ZM040406009,ZM0404,Milenge,Luapula,no_station
ZM021003626,ZM0210,Ndola,Copperbelt,G1312
ZM040406004,ZM0404,Milenge,Luapula,no_station
ZM040205718,ZM0402,Kawambwa,Luapula,G1264
ZM090612309,ZM0906,Livingstone,Southern,no_station
ZM040406003,ZM0404,Milenge,Luapula,no_station
ZM040406013,ZM0404,Milenge,Luapula,no_station
ZM040406006,ZM0404,Milenge,Luapula,no_station
ZM090612315,ZM0906,Livingstone,Southern,no_station
ZM090612302,ZM0906,Livingstone,Southern,no_station
ZM040406005,ZM0404,Milenge,Luapula,no_station
ZM090712509,ZM0907,Mazabuka,Southern,G1352
ZM040406008,ZM0404,Milenge,Luapula,no_station
ZM040406011,ZM0404,Milenge,Luapula,no_station
ZM040205722,ZM0402,Kawambwa,Luapula,G1264
ZM040406012,ZM0404,Milenge,Luapula,no_station
ZM040406010,ZM0404,Milenge,Luapula,no_station
ZM040205715,ZM0402,Kawambwa,Luapula,G1264
ZM040205721,ZM0402,Kawambwa,Luapula,G1264
ZM040205720,ZM0402,Kawambwa,Luapula,G1264
ZM090612303,ZM0906,Livingstone,Southern,no_station
ZM080410622,ZM0804,Kasempa,North-Western,G1323
ZM040205717,ZM0402,Kawambwa,Luapula,G1264
ZM080410614,ZM0804,Kasempa,North-Western,G1323
ZM080410606,ZM0804,Kasempa,North-Western,G1323
ZM030103701,ZM0301,Chadiza,Eastern,no_station
ZM030103705,ZM0301,Chadiza,Eastern,no_station
ZM030204116,ZM0302,Chipata,Eastern,no_station
ZM030204404,ZM0302,Chipata,Eastern,no_station
ZM090412216,ZM0904,Kalomo,Southern,G1352
ZM080410610,ZM0804,Kasempa,North-Western,G1323
ZM080410616,ZM0804,Kasempa,North-Western,G1323
ZM030103709,ZM0301,Chadiza,Eastern,no_station
ZM030204114,ZM0302,Chipata,Eastern,no_station
ZM090612317,ZM0906,Livingstone,Southern,no_station
ZM040205716,ZM0402,Kawambwa,Luapula,G1264
ZM040506422,ZM0405,Mwense,Luapula,no_station
ZM080410601,ZM0804,Kasempa,North-Western,G1323
ZM080410618,ZM0804,Kasempa,North-Western,G1323
ZM080410604,ZM0804,Kasempa,North-Western,G1323
ZM030103813,ZM0301,Chadiza,Eastern,no_station
ZM030103706,ZM0301,Chadiza,Eastern,no_station
ZM030204113,ZM0302,Chipata,Eastern,no_station
ZM090211813,ZM0902,Gwembe,Southern,G1353
ZM030103814,ZM0301,Chadiza,Eastern,no_station
ZM030103710,ZM0301,Chadiza,Eastern,no_station
ZM030204118,ZM0302,Chipata,Eastern,no_station
ZM030204308,ZM0302,Chipata,Eastern,no_station
ZM090512106,ZM0905,Kazungula,Southern,G5696
ZM030103711,ZM0301,Chadiza,Eastern,no_station
ZM030204401,ZM0302,Chipata,Eastern,no_station
ZM030204310,ZM0302,Chipata,Eastern,no_station
ZM030204222,ZM0302,Chipata,Eastern,no_station
ZM091013209,ZM0910,Siavonga,Lusaka,G1352
ZM091113313,ZM0911,Sinazongwe,Southern,G1373
ZM040506414,ZM0405,Mwense,Luapula,no_station
ZM040506308,ZM0405,Mwense,Luapula,no_station
ZM040606604,ZM0406,Nchelenge,Luapula,no_station
ZM030103702,ZM0301,Chadiza,Eastern,no_station
ZM021003313,ZM0210,Ndola,Copperbelt,G1312
ZM030204309,ZM0302,Chipata,Eastern,no_station
ZM030204306,ZM0302,Chipata,Eastern,no_station
ZM090512104,ZM0905,Kazungula,Southern,G5696
ZM030204115,ZM0302,Chipata,Eastern,no_station
ZM030204311,ZM0302,Chipata,Eastern,no_station
ZM030204221,ZM0302,Chipata,Eastern,no_station
ZM030204312,ZM0302,Chipata,Eastern,no_station
ZM030204219,ZM0302,Chipata,Eastern,no_station
ZM091013213,ZM0910,Siavonga,Lusaka,G1352
ZM091113310,ZM0911,Sinazongwe,Southern,G1373
ZM030204405,ZM0302,Chipata,Eastern,no_station
ZM090412219,ZM0904,Kalomo,Southern,G1352
ZM091013211,ZM0910,Siavonga,Lusaka,G1352
ZM091113308,ZM0911,Sinazongwe,Southern,G1373
ZM030204402,ZM0302,Chipata,Eastern,no_station
ZM091013212,ZM0910,Siavonga,Lusaka,G1352
ZM091113306,ZM0911,Sinazongwe,Southern,G1373
ZM040506419,ZM0405,Mwense,Luapula,no_station
ZM040506313,ZM0405,Mwense,Luapula,no_station
ZM040606602,ZM0406,Nchelenge,Luapula,no_station
ZM040406001,ZM0404,Milenge,Luapula,no_station
ZM040205719,ZM0402,Kawambwa,Luapula,G1264
ZM090512103,ZM0905,Kazungula,Southern,G5696
ZM090512101,ZM0905,Kazungula,Southern,G5696
ZM090412222,ZM0904,Kalomo,Southern,G1352
ZM091113302,ZM0911,Sinazongwe,Southern,G1373
ZM091113309,ZM0911,Sinazongwe,Southern,G1373
ZM091113301,ZM0911,Sinazongwe,Southern,G1373
ZM040506312,ZM0405,Mwense,Luapula,no_station
ZM080510708,ZM0805,Mufumbwe,North-Western,no_station
ZM080510712,ZM0805,Mufumbwe,North-Western,no_station
ZM080310510,ZM0803,Kabompo,North-Western,G1319
ZM080510705,ZM0805,Mufumbwe,North-Western,no_station
