placeCode,name,glofasStation
ET030104,Debark,no_station
ET070301,Tembaro,no_station
ET040416,Gumay,no_station
ET070601,Boloso Sore,no_station
ET030902,Banja,no_station
ET010215,Ahsea,no_station
ET030412,Borena /Debresina,no_station
ET040205,Boneya Boshe,no_station
ET070507,Dila town,no_station
ET040506,Bako Tibe,no_station
ET050303,Aware,no_station
ET041798,Bishan Guracha,no_station
ET010310,Bizet,no_station
ET030805,Abergele (AM),no_station
ET042012,Akaki,no_station
ET030612,Awabel,no_station
ET010504,Setit Humera,no_station
ET040914,Bedesa,no_station
ET030601,Bibugn,no_station
ET050599,Bodaley,no_station
ET041807,Anfilo,no_station
ET030101,Addi Arekay,no_station
ET041513,Abaya,no_station
ET050602,Adadle,no_station
ET050999,Bokolmayo,no_station
ET160027,Chirone,no_station
ET030209,Dera (AM),G4957
ET072203,Burji Special,no_station
ET040602,Dera (OR),no_station
ET071505,Gezei Gofa,no_station
ET041013,Bedeno,no_station
ET050198,Gota-Biki,no_station
ET160009,Aroresa,no_station
ET120201,Abobo,no_station
ET070309,Adilo,no_station
ET040703,Adama,G1074
ET030519,Basona Worena,no_station
ET041605,Dabo Hana,no_station
ET040909,Daro Lebu,no_station
ET070204,Shashogo,no_station
ET160008,Bensa,no_station
ET030313,Angot,no_station
ET040822,Diksis,no_station
ET051001,Ayun,no_station
ET041492,Adola town,no_station
ET020401,Awra (AF),no_station
ET070710,Boko Dawula,no_station
ET160033,Darara,no_station
ET040511,Ejere /Addis Alem,no_station
ET041515,Dugda Dawa,no_station
ET050199,Gablalu,no_station
ET020304,Dulecha,G1067
ET050402,Fik,no_station
ET041017,Golo Oda,no_station
ET050901,Filtu,G5115
ET041116,Goro (Bale),no_station
ET040818,Limu Bilbilo,no_station
ET041014,Midhaga Tola,no_station
ET010303,Saesie,no_station
ET071711,Tercha town,no_station
ET041594,Suro Berguda,no_station
ET120202,Gambela Zuria,no_station
ET010602,Enderta,no_station
ET120103,Jikawo,G1603
ET040704,Lome (OR),no_station
ET040310,Metu Zuria,no_station
ET040102,Nejo,no_station
ET071105,Semen Bench,no_station
ET041712,Shashemene Zuria,no_station
ET070616,Tebela town,no_station
ET160026,Teticha,no_station
ET010103,Zana,no_station
ET020110,Gerani,no_station
ET040213,Guto Gida,no_station
ET041908,Jarte Jardega,no_station
ET010508,Korarit,no_station
ET030906,Jawi,no_station
ET030103,Janamora,no_station
ET030807,Sekota town,no_station
ET041407,Liben,no_station
ET030397,Mersa town,no_station
ET040197,Leta Sibu,no_station
ET020404,Yalo,no_station
ET030423,Wereilu town,no_station
ET042103,Ginir,G1902
ET071011,Kemba,G1901
ET040105,Kiltu Kara,no_station
ET071012,Kemba town,no_station
ET051198,Qada Duma,no_station
ET070702,South Ari,no_station
ET020502,Samurobi,G1067
ET030614,Shebel Bernta,no_station
ET031120,Tach Armacho,no_station
ET010503,Tsegede (TG),no_station
ET041311,Woliso town,no_station
ET050499,Wangey,no_station
ET070912,Goba (SP),no_station
ET050806,Hargele,no_station
ET040518,Jibat,no_station
ET150105,Legehare,no_station
ET042102,Lege Hida,G5076
ET071509,Melo Gada,no_station
ET031121,Takusa,no_station
ET042105,Seweyna,G5081
ET030703,Yilmana Densa,G4953
ET030904,Guangua,no_station
ET070101,Kebena,no_station
ET040824,Inkolo Wabe,no_station
ET041307,Kersana Malima,no_station
ET040821,Lude Hitosa,no_station
ET030505,Menze Gera Midir,no_station
ET060402,Sedal,no_station
ET071806,Surma,no_station
ET030709,Jabi Tehnan,no_station
ET041906,Jimma Genete,no_station
ET070503,Kochere,no_station
ET041007,Kurfa Chele,G5068
ET050407,Lagahida,no_station
ET031206,Mirab Armacho,no_station
ET041709,Nenesebo,no_station
ET051004,Salahad,no_station
ET040814,Shirka,no_station
ET041401,Uraga,no_station
ET042013,Sululta,no_station
ET030407,Kalu,no_station
ET050207,Harshin,no_station
ET041098,Kumbi,no_station
ET050107,Miesso,no_station
ET050586,Marsin,no_station
ET030304,Meket,no_station
ET040115,Nole Kaba,no_station
ET041805,Sayo,no_station
ET050283,Tuliguled,no_station
ET060308,Undulu,no_station
ET030801,Zequala,no_station
ET010501,Kafta Humera,no_station
ET010701,Mekelle,no_station
ET051103,Moyale (SM),no_station
ET041112,Mena (Bale),no_station
ET070701,Salamago,G1901
ET010502,Welkait,no_station
ET031213,Metema,no_station
ET030310,Lasta,no_station
ET070708,Nyngatom,no_station
ET040820,Sire,no_station
ET060203,Wenbera,no_station
ET010101,Tahtay Adiyabo,no_station
ET041207,Yabelo,G5173
ET070803,Yeki,no_station
ET060401,Zayi,no_station
