placeCode,name,glofasStation
ET030599,Aleme Ketma,no_station
ET071015,Arba Minch Zuria,no_station
ET010213,Axum town,no_station
ET050105,Afdem,no_station
ET050203,Babile (SM),no_station
ET130108,Aboker,no_station
ET020306,Arguba,no_station
ET040617,Aleltu,no_station
ET041909,Amuru,no_station
ET020207,Afdera,no_station
ET020396,Awash town,no_station
ET030903,Ankasha,no_station
ET030514,Assagirt,no_station
ET072001,Alicho Woriro,no_station
ET050101,Ayisha,G4954
ET040111,Babo,no_station
ET030611,Baso Liben,no_station
ET040314,Becho (Ilu Aba Bora),no_station
ET040802,Aseko,no_station
ET040107,Ayira,no_station
ET040894,Bekoji town,no_station
ET031002,Bati,no_station
ET070302,Angacha,no_station
ET030702,Bahirdar Zuria,G4953
ET040709,Bishoftu town,no_station
ET041114,Berbere,no_station
ET030517,Berehet,no_station
ET060305,Bambasi,no_station
ET140109,Arada,no_station
ET041000,Babile town,no_station
ET030617,Aneded,no_station
ET041799,Arsi Negele town,no_station
ET031099,Bati Town,no_station
ET071601,Basketo SP Woreda,G1901
ET010307,Atsbi,no_station
ET010507,Awra (TG),no_station
ET020205,Berahile,no_station
ET030102,Beyeda,no_station
ET071805,Bero,no_station
ET042011,Bereh,no_station
ET041208,Arero,G5141
ET030699,Bechena Town,no_station
ET060303,Assosa,no_station
ET041309,Becho (SW Shewa),no_station
ET050807,Barey,no_station
ET070622,Bayera Koisha,no_station
ET070705,Bena Tsemay,G1901
ET071508,Bulike town,no_station
ET070910,Bita,no_station
ET071006,Chencha Zuriya,no_station
ET041097,Deder town,no_station
ET050603,Danan,G1904
ET041607,Borecha,no_station
ET030210,Debre Tabor town,no_station
ET030803,Dehana,no_station
ET041304,Dawo,no_station
ET031112,Chilga 2,no_station
ET050394,Burqod,no_station
ET041808,Dale Sadi,no_station
ET070608,Boloso Bombe,no_station
ET070119,Debub Sodo,no_station
ET050302,Degehabur,no_station
ET041402,Bore,no_station
ET020208,Bidu,no_station
ET031106,Chilga 1,no_station
ET030607,Debay Telatgen,no_station
ET020504,Dalefage,no_station
ET160015,Bursa,no_station
ET041587,Bule Hora town,no_station
ET070706,Dasenech /Kuraz,G1901
ET030106,Dabat town,no_station
ET070909,Chena,no_station
ET071004,Boreda,no_station
ET030707,Dega Damot,no_station
ET030715,Debub Mecha,no_station
ET070115,Butajira town,no_station
ET020206,Dalol,no_station
ET070615,Boditi town,no_station
ET010414,Chercher,no_station
ET050504,Debeweyin,no_station
ET040507,Dano,no_station
ET050788,Daratole,no_station
ET041623,Chwaka,no_station
ET030613,Dejen,no_station
ET040510,Dendi,no_station
ET070510,Churso,no_station
ET040505,Cheliya,no_station
ET040710,Bora (OR),no_station
ET060207,Bulen,no_station
ET040913,Chiro Zuria,no_station
ET060201,Dangura,no_station
ET072005,Dalocha,no_station
ET040410,Dedo,no_station
ET030520,Debre Berhan town,no_station
ET020503,Dawe,G1067
ET070504,Bule,no_station
ET071010,Chencha,no_station
ET041803,Dale Wabera,no_station
ET030311,Dawunt,no_station
ET060306,Bilidigilu,no_station
ET040815,Degeluna Tijo,no_station
ET041603,Chora (Buno Bedele),no_station
ET071009,Daramalo,no_station
ET070611,Damot Pullasa,no_station
ET030301,Bugna,no_station
ET041015,Chinaksen,no_station
ET030615,Debre Markos town,no_station
ET041608,Dedesa,no_station
ET150208,Biyoawale,no_station
ET140104,Bole,no_station
ET010604,Degua Temben,no_station
ET070907,Cheta,no_station
ET050802,Charati,no_station
ET041011,Deder,no_station
ET030608,Debre Elias,no_station
ET041501,Bule Hora,no_station
ET041911,Choman Guduru,no_station
ET070603,Damot Woide,no_station
ET160006,Dara,no_station
ET030717,Denbecha town,no_station
