,name,placeCode,glofasStation
141,Bubukwanga,UG41030202,no_station
142,Bubutu,UG20560101,G5220
143,Bubyangu,UG20540101,G5220
144,Budadiri Town Council,UG20610101,no_station
145,Budaka,UG20280101,G5220
146,Budaka Town Council,UG20280102,G5220
147,Budde,UG10030101,no_station
148,Budhaya,UG20300201,G5075
149,Budomero,UG20430101,G5075
150,Budondo,UG20400301,no_station
151,Budongo,UG41250101,no_station
152,Bududa,UG20290102,G5220
153,Bududa Town Council,UG20290103,G5220
154,Budumba,UG20360101,G5220
155,Budwale,UG20540102,G5220
156,Bufumbo,UG20540103,G5220
157,Bufumira,UG10060202,no_station
158,Bufunda Division,UG41070202,no_station
159,Bufundi,UG41300102,no_station
160,Bufunjo,UG41240101,G5189
161,Bugaaki,UG41240102,G5189
162,Bugambe,UG41180101,G5227
163,Bugangari,UG41330101,G5317
164,Buganikire Town Councili,UG41030203,no_station
165,Bugaya,UG10040101,no_station
166,Bugaya,UG20380101,G5075
167,Bugembe Town Council,UG20400101,no_station
168,Buginyanya,UG20340101,no_station
169,Bugitimwa,UG20610102,no_station
170,Bugobero,UG20520101,G5220
171,Bugondo,UG20600101,no_station
172,Bugongi Town Council,UG41350101,no_station
173,Bugoye,UG41150201,no_station
174,Bugulumbya,UG20440201,no_station
175,Bugweri Town Council,UG20310101,no_station
176,Buhanika,UG41060101,no_station
177,Buhara,UG41090201,no_station
178,Buheesi,UG41040101,no_station
179,Buheesi Town Council,UG41040102,no_station
180,Buhehe,UG20350201,G5230
181,Buhemba,UG20550102,G5230
182,Buhimba,UG41180102,G5227
183,Buhimba Town Council,UG41180103,G5227
184,Buhugu,UG20610103,no_station
185,Buhuhira,UG41150202,no_station
186,Buhunga,UG41330102,G5317
187,Buikwe,UG10010101,no_station
188,Buikwe Town Council,UG10010102,no_station
189,Bujumba,UG10060101,no_station
190,Bujumbura Division,UG41060201,no_station
191,Bukabooli,UG20530102,no_station
192,Bukakata,UG10170101,no_station
193,Bukalasi,UG20290104,G5220
194,Bukamba,UG20430102,G5075
195,Bukana,UG20550103,G5230
196,Bukanga,UG20510101,no_station
197,Bukasakya,UG20540104,G5220
198,Bukatube,UG20530103,no_station
199,Bukedea,UG20320101,no_station
200,Bukedea Town Council,UG20320102,no_station
201,Bukhabusi,UG20560102,G5220
202,Bukhalu,UG20340102,no_station
203,Bukhaweka,UG20560103,G5220
204,Bukhofu,UG20520102,G5220
205,Bukhulo,UG20610104,no_station
206,Bukiabi,UG20560104,G5220
207,Bukibokolo,UG20290105,G5220
208,Bukiende,UG20540105,G5220
209,Bukigai,UG20290106,G5220
210,Bukiise,UG20610105,no_station
211,Bukimbiri,UG41210101,no_station
212,Bukinda,UG41320101,no_station
213,Bukiro,UG41260103,no_station
214,Bukiyi,UG20610106,no_station
215,Bukokho,UG20560105,G5220
216,Bukomansimbi  Town Council,UG10020102,no_station
217,Bukomero,UG10110101,G5160
218,Bukomero Town Council,UG10110102,G5160
219,Bukonde,UG20540106,G5220
220,Bukonzo,UG41030101,no_station
221,Bukooma,UG20510102,no_station
222,Bukulula,UG10070101,no_station
223,Bukurungu Town Council,UG41330103,G5317
224,Bukusu,UG20520103,G5220
225,Bukuuku,UG41100101,no_station
226,Bukuya,UG10090101,no_station
227,Bukwo,UG20330101,no_station
228,Bukwo Town Council,UG20330102,no_station
229,Bukyabo,UG20610107,no_station
230,Bukyambi,UG20610108,no_station
231,Bulaago,UG20340103,no_station
232,Bulambuli Town Council,UG20340104,no_station
233,Bulamogi,UG20390201,no_station
234,Bulange,UG20570101,G5075
235,Bulangira,UG20480101,G5075
236,Bulegeni,UG20340105,no_station
237,Bulegeni Town Council,UG20340106,no_station
238,Bulembia Division,UG41150301,no_station
239,Bulera,UG10180301,G5160
240,Bulesa,UG20300202,G5075
241,Bulidha,UG20300203,G5075
242,Buliisa,UG41020102,no_station
243,Buliisa Town Council,UG41020103,no_station
244,Bulo,UG10030102,no_station
245,Bulongo,UG20510103,no_station
246,Bulopa,UG20440102,no_station
247,Bulucheke,UG20290107,G5220
248,Buluganya,UG20340107,no_station
249,Buluguyi,UG20300204,G5075
250,Bulumbi,UG20350202,G5230
251,Bumalimba,UG20610109,no_station
252,Bumanya,UG20430103,G5075
253,Bumasheti,UG20290108,G5220
254,Bumasifwa,UG20610110,no_station
255,Bumasikye,UG20540107,G5220
256,Bumasobo,UG20340108,no_station
257,Bumayoka,UG20290109,G5220
258,Bumbaire,UG41050202,no_station
259,Bumbo,UG20560106,G5220
260,Bumbobi,UG20540108,G5220
261,Bumugibole,UG20340109,no_station
262,Bumwoni,UG20560107,G5220
263,Bunabwana,UG20520104,G5220
264,Bunambutye,UG20340110,no_station
265,Bunamwaya Division,UG10260501,G5160
266,Bundibugyo Town Council,UG41030204,no_station
267,Bundingoma,UG41030205,no_station
268,Bungatira,UG30740102,no_station
269,Bungokho,UG20540109,G5220
270,Bungokho Mutoto,UG20540110,G5220
271,Bunyafa,UG20610111,no_station
272,Bunyinza Town Council,UG20520105,G5220
273,Bupoto,UG20560108,G5220
274,Burere,UG41010103,no_station
275,Burondo,UG41030102,no_station
276,Burora,UG41110101,G5227
277,Busaana,UG10100201,no_station
278,Busaba,UG20360102,G5220
279,Busabi,UG20360103,G5220
280,Busakira,UG20530104,no_station
281,Busamuzi,UG10040102,no_station
282,Busano,UG20540111,G5220
283,Busanza,UG41210102,no_station
284,Busaru,UG41030206,no_station
285,Busedde,UG20400102,no_station
286,Busembatia Town Council,UG20310102,no_station
287,Buseruka,UG41060102,no_station
288,Buseta,UG20480102,G5075
289,Bushika,UG20290110,G5220
290,Bushiribo,UG20290111,G5220
291,Bushiyi,UG20290112,G5220
292,Busiisi Division,UG41060202,no_station
293,Busimbi Division,UG10180401,G5160
294,Busime,UG20350203,G5230
295,Busiriba,UG41130103,no_station
296,Busitema,UG20350204,G5230
297,Busiu,UG20540112,G5220
298,Busiu Town Council,UG20540113,G5220
299,Busoba,UG20540114,G5220
300,Busolwe,UG20360104,G5220
301,Busolwe Town Council,UG20360105,G5220
302,Busoro,UG41100102,no_station
303,Bussi,UG10260101,G5160
304,Busukuma Division,UG10260601,G5160
305,Busukuya,UG20520106,G5220
306,Busulani,UG20610112,no_station
307,Busunga Twon Council,UG41030207,no_station
308,Busunju Town Council,UG10180302,G5160
309,Buswale,UG20550104,G5230
310,Butagaya,UG20400302,no_station
311,Butalangu Town Council,UG10220101,G5160
312,Butaleja,UG20360106,G5220
313,Butaleja Town Council,UG20360107,G5220
314,Butama-Mitunda Town Council,UG41030103,no_station
315,Butanda,UG41090202,no_station
316,Butandiga,UG20610113,no_station
317,Butansi,UG20440103,no_station
318,Butayunja,UG10180102,G5160
319,Buteba,UG20350205,G5230
320,Butebo,UG20370101,no_station
321,Butebo Town Council,UG20370102,no_station
322,Butemba,UG10120112,G5160
323,Butemba Town Council,UG10120113,G5160
324,Butenga,UG10020103,no_station
325,Buteza,UG20610114,no_station
326,Butiaba,UG41020104,no_station
327,Butiiti,UG41240103,G5189
328,Butiru,UG20520107,G5220
329,Butogota Town Council,UG41140101,G5317
330,Butoloogo,UG10200101,no_station
331,Butta,UG20520108,G5220
332,Butunduzi,UG41240104,G5189
333,Butunduzi Town Council,UG41240105,G5189
334,Butungama,UG41280101,G5189
335,Butuntumula,UG10140202,no_station
336,Buvuma Town Council,UG10040103,no_station
337,Buwaaya,UG20530105,no_station
338,Buwabwala,UG20560109,G5220
339,Buwagogo,UG20520109,G5220
340,Buwalasi,UG20610115,no_station
341,Buwali,UG20290113,G5220
342,Buwama,UG10190101,no_station
343,Buwangani Town Council,UG20520110,G5220
344,Buwasa,UG20610116,no_station
345,Buwenge,UG20400303,no_station
346,Buwenge Town Council,UG20400304,no_station
347,Buwooya,UG10040104,no_station
348,Buwunga,UG10170102,no_station
349,Buwunga,UG20300205,G5075
350,Buyaga Town Council,UG20340111,no_station
351,Buyanga,UG20310103,no_station
352,Buyanga,UG20350206,G5230
353,Buyanja,UG41330201,G5317
354,Buyanja Town Council,UG41330202,G5317
355,Buyende,UG20380102,G5075
356,Buyende Town Council,UG20380103,G5075
357,Buyengo,UG20400305,no_station
358,Buyinda,UG20430104,G5075
359,Buyinja,UG20550105,G5230
360,Buyobo,UG20610117,no_station
361,Bwambara,UG41330104,G5317
362,Bwamiramira,UG41170102,no_station
363,Bwanswa,UG41120102,no_station
364,Bweema,UG10040105,no_station
365,Bwera,UG41150101,no_station
366,Bweramule,UG41280102,G5189
367,Bwesumbu,UG41150203,no_station
368,Bweyale Town Council,UG41200101,no_station
369,Bweyogerere Division,UG10260301,G5160
370,Bwijanga,UG41250102,no_station
371,Bwikara,UG41110102,G5227
372,Bwikhonge,UG20340112,no_station
373,Bwizi,UG41130104,no_station
374,Bwongyera,UG41290101,no_station
375,Byakabanda,UG10240101,no_station
376,Byerima,UG10120114,G5160
377,Central,UG41210201,no_station
378,Central Division,UG10010201,no_station
379,Central Division,UG10080101,no_station
380,Central Division,UG10180201,G5160
381,Central Division,UG10210101,no_station
382,Central Division,UG20390101,no_station
383,Central Division,UG20400201,no_station
384,Central Division,UG20450101,no_station
385,Central Division,UG30770201,no_station
386,Central Division,UG30800201,G5196
387,Central Division,UG30830202,no_station
388,Central Division,UG30910102,no_station
389,Central Division,UG41090101,no_station
390,Central Division,UG41150302,no_station
391,Central Division,UG41250301,no_station
392,Central Division,UG41290201,no_station
393,Central Divison,UG41050101,no_station
394,Chahi,UG41210103,no_station
395,Chawente,UG30810104,no_station
396,Chegere,UG30710203,no_station
397,Chelekura,UG20590204,G5075
398,Chema,UG20450202,no_station
399,Chepkwasta,UG20330103,no_station
400,Chepterech,UG20450203,no_station
401,Chesower,UG20330104,no_station
402,Ciforo,UG30650104,no_station
403,Dabani,UG20350207,G5230
404,Dadamu,UG30720204,no_station
405,Ddwaniro,UG10110103,G5160
406,Ddwaniro,UG10240102,no_station
407,Difule,UG30870101,no_station
408,Division A,UG10260201,G5160
409,Division B,UG10260202,G5160
410,Dokolo,UG30730106,no_station
411,Dokolo Tc,UG30730107,no_station
412,Drajini,UG30990103,no_station
413,Dranya,UG30780102,no_station
414,Dzaipi,UG30650105,no_station
415,Eastern Division,UG10200301,no_station
416,Eastern Division,UG20300101,G5075
417,Eastern Division,UG20350101,G5230
418,Eastern Division,UG20450102,no_station
419,Eastern Division,UG20620201,no_station
420,Eastern Division,UG20630201,G5075
421,Eastern Division,UG41100201,no_station
422,Eastern Division,UG41290202,no_station
423,Eastern Divison,UG41330301,G5317
424,Endiinzi,UG41080101,no_station
425,Endiinzi Town Council,UG41080102,no_station
426,Engaju,UG41010104,no_station
427,Erussi,UG30910203,no_station
428,Etam,UG30680108,no_station
429,Gadumire,UG20430105,G5075
430,Galiraya,UG10100102,no_station
431,Gamogo,UG20450204,no_station
432,Gayaza,UG10120115,G5160
433,Gogonyo,UG20590205,G5075
434,Goli Goli,UG20480103,G5075
435,Goma Division,UG10210301,no_station
436,Gombe Division,UG10260602,G5160
437,Gombe Town Council,UG10030103,no_station
438,Got Apwoyo,UG30920104,no_station
439,Gweri,UG20620103,no_station
440,Hakibaale,UG41100103,no_station
441,Hamurwa,UG41300103,no_station
442,Hamurwa Town Council,UG41300104,no_station
443,Hapuuyo,UG41230101,no_station
444,Harugale,UG41030104,no_station
445,Harugogo,UG41100104,no_station
446,Hima Town Council,UG41150204,no_station
447,Himutu,UG20360108,G5220
448,Ibaare,UG41050203,no_station
449,Ibuje,UG30710204,no_station
450,Ibulanku,UG20310104,no_station
451,Iceme,UG30960105,no_station
452,Igombe,UG20310105,no_station
453,Igorora Town Council,UG41070101,no_station
454,Ihandiro,UG41150102,no_station
455,Ihunga,UG41290102,no_station
456,Iki-Iki,UG20280201,G5220
457,Ikumba,UG41300105,no_station
458,Ikumbya,UG20510104,no_station
459,Imanyiro,UG20530106,no_station
460,Industrial Divison,UG20540201,G5220
461,Inomo,UG30810105,no_station
462,Iriiri,UG30900101,G5196
463,Irongo,UG20510105,no_station
464,Isango,UG41150103,no_station
465,Ishaka Divison,UG41050102,no_station
466,Ishongororo,UG41070102,no_station
467,Ishongororo Town Council,UG41070103,no_station
468,Isingiro Town Council,UG41080202,no_station
469,Itirikwa,UG30650106,no_station
470,Itojo,UG41290301,no_station
471,Ivukula,UG20570102,G5075
472,Iwemba,UG20300206,G5075
473,Iyolwa,UG20630301,G5075
474,Jaguzi,UG20530107,no_station
475,Jangokoro,UG31000106,no_station
476,Kaabong East,UG30750101,no_station
477,Kaabong Town Council,UG30750102,no_station
478,Kaabong West,UG30750103,no_station
479,Kaato,UG20520111,G5220
480,Kabamba,UG41110103,G5227
481,Kabambiro,UG41130105,no_station
482,Kabasekende,UG41170103,no_station
483,Kabei,UG20330105,no_station
484,Kaberamaido,UG20410103,no_station
485,Kaberamaido Town Council,UG20410104,no_station
486,Kaberebere Town Council,UG41080203,no_station
487,Kabeywa,UG20450205,no_station
488,Kabingo,UG41080204,no_station
489,Kabira,UG41270102,no_station
490,Kabonera,UG10170103,no_station
491,Kabonero,UG41040103,no_station
492,Kabulasoke,UG10050101,no_station
493,Kabuyanda,UG41080205,no_station
494,Kabuyanda Town Council,UG41080206,no_station
495,Kabwangasi,UG20370103,no_station
496,Kabweri,UG20480104,G5075
497,Kabweza Kyegegwa,UG41230102,no_station
498,Kabwohe Division,UG41350201,no_station
499,Kabwoya,UG41180104,G5227
500,Kacheera,UG10240103,no_station
501,Kacheri,UG30800101,G5196
502,Kachomo,UG20280202,G5220
503,Kachonga,UG20360109,G5220
504,Kachumbala,UG20320103,no_station
505,Kadama,UG20480105,G5075
506,Kaderuna,UG20280103,G5220
507,Kadungulu,UG20600102,no_station
508,Kadungulu Town Council,UG20600103,no_station
509,Kafunjo-Mirama Town Council,UG41290302,no_station
510,Kagadi,UG41110104,G5227
511,Kagadi  Town Council,UG41110105,G5227
512,Kagamba,UG10240104,no_station
513,Kagango Division,UG41070203,no_station
514,Kagango Division,UG41350202,no_station
515,Kagarama Town Council,UG41290103,no_station
516,Kagongi,UG41260104,no_station
517,Kagugu,UG41030105,no_station
518,Kagulu,UG20380104,G5075
519,Kagumba,UG20440104,no_station
520,Kagumu,UG20480106,G5075
521,Kaharo,UG41090203,no_station
522,Kahoora Divison,UG41060203,no_station
523,Kahunge,UG41130106,no_station
524,Kahunge Town Council,UG41130107,no_station
525,Kajjansi Town Council,UG10260102,G5160
526,Kakabara,UG41230103,no_station
527,Kakamar,UG30750104,no_station
528,Kakamba,UG41080103,no_station
529,Kakanju,UG41050204,no_station
530,Kakiika Division,UG41260105,no_station
531,Kakindo,UG41120103,no_station
532,Kakindo Town Council,UG41350102,no_station
533,Kakindu,UG10180103,G5160
534,Kakira Town Council,UG20400103,no_station
535,Kakiri,UG10260103,G5160
536,Kakiri Town Council,UG10260104,G5160
537,Kakoba Division,UG41260201,no_station
538,Kakomongole,UG30890101,no_station
539,Kakooge,UG10230101,no_station
540,Kakooge Town Council,UG10230102,no_station
541,Kakoro,UG20370104,no_station
542,Kakule,UG20280104,G5220
543,Kakumiro  Town Council,UG41120104,no_station
544,Kakutu,UG20480107,G5075
545,Kalagala,UG10140102,no_station
546,Kalamba,UG10030104,no_station
547,Kalangaalo,UG10180303,G5160
548,Kalangala Town Council,UG10060102,no_station
549,Kalapata,UG30750105,no_station
550,Kaliiro,UG10160101,no_station
551,Kaliro Town Council,UG20430106,G5075
552,Kalongo,UG10230103,no_station
553,Kalongo Town Council,UG30660104,no_station
554,Kalungi,UG10230104,no_station
555,Kalungu,UG10070102,no_station
556,Kalungu Town Council,UG10070103,no_station
557,Kalwana,UG10090102,no_station
558,Kambuga,UG41140102,G5317
559,Kambuga Town Council,UG41140103,G5317
560,Kamdini,UG30960106,no_station
561,Kameke,UG20590206,G5075
562,Kameruka,UG20280203,G5220
563,Kamet,UG20330106,no_station
564,Kamion,UG30750106,no_station
565,Kamira,UG10140103,no_station
566,Kammengo,UG10190102,no_station
567,Kamonkoli,UG20280204,G5220
568,Kamu,UG20340113,no_station
569,Kamuda,UG20620104,no_station
570,Kamuganguzi,UG41090204,no_station
571,Kamuge,UG20590207,G5075
572,Kamukuzi Division,UG41260202,no_station
573,Kamwenge,UG41130108,no_station
574,Kamwenge Town Council,UG41130109,no_station
575,Kamwezi,UG41320102,no_station
576,Kanaba,UG41210104,no_station
577,Kanara,UG41280103,G5189
578,Kanara Town Council,UG41280104,G5189
579,Kangai,UG30730108,no_station
580,Kanginima,UG20370105,no_station
581,Kango,UG31000107,no_station
582,Kangulumira,UG10100202,no_station
583,Kanoni Town Council,UG10050102,no_station
584,Kanungu Town Council,UG41140104,G5317
585,Kanyabwanga,UG41270103,no_station
586,Kanyantorogo,UG41140105,G5317
587,Kanyaryeru,UG41190101,no_station
588,Kanyegaramire,UG41240106,G5189
589,Kanyum,UG20490102,no_station
590,Kapeeka,UG10220102,G5160
591,Kapeke,UG10110104,G5160
592,Kapelebyong,UG20460103,G5196
593,Kapelebyong Town Council,UG20460104,G5196
594,Kapir,UG20580101,no_station
595,Kaproron,UG20500104,no_station
596,Kaproron Town Council,UG20500105,no_station
597,Kapsinda,UG20450206,no_station
598,Kaptanya,UG20450207,no_station
599,Kaptererwo,UG20330107,no_station
600,Kaptoyoy,UG20500106,no_station
601,Kaptum,UG20500107,no_station
602,Kapujan,UG20470201,G5196
603,Kapyanga,UG20300207,G5075
604,Karago Town Council,UG41100105,no_station
605,Karama,UG41170104,no_station
606,Karambi,UG41100106,no_station
607,Karambi,UG41150104,no_station
608,Karangura,UG41100107,no_station
609,Karita,UG30690103,no_station
610,Karugutu,UG41280105,G5189
611,Karugutu Town Council,UG41280106,G5189
612,Karujubu Division,UG41250302,no_station
613,Karungu,UG41010105,no_station
614,Karusandara,UG41150205,no_station
615,Kasaana,UG41350103,no_station
616,Kasagama,UG10160102,no_station
617,Kasambya,UG10200202,no_station
618,Kasambya,UG41120105,no_station
619,Kasambya Town Council,UG10200203,no_station
620,Kasangati Town Council,UG10260401,G5160
621,Kasangombe,UG10220103,G5160
622,Kasanje,UG10260105,G5160
623,Kasasira,UG20480108,G5075
624,Kasawo,UG10210401,no_station
625,Kasenda,UG41100108,no_station
626,Kaserem,UG20450208,no_station
627,Kashambya,UG41320103,no_station
628,Kashare,UG41260106,no_station
629,Kashenshero,UG41270104,no_station
630,Kashenshero Town Council,UG41270105,no_station
631,Kashongi,UG41190102,no_station
632,Kashozi Division,UG41350203,no_station
633,Kashumba,UG41080104,no_station
634,Kasilo Town Council,UG20600104,no_station
635,Kasimbi,UG41170105,no_station
636,Kasitu,UG41030106,no_station
637,Kasodo,UG20590208,G5075
638,Kasokwe,UG20430107,G5075
639,Kassanda,UG10090103,no_station
640,Kassanda Town Council,UG10090104,no_station
641,Kasule,UG41230104,no_station
642,Katabi  Town Council,UG10260106,G5160
643,Katakwi,UG20470101,G5196
644,Katakwi Town Council,UG20470102,G5196
645,Katanda,UG41310101,no_station
646,Katebwa,UG41040104,no_station
647,Katenga,UG41270106,no_station
648,Katerera,UG41310102,no_station
649,Katerera Town Council,UG41310103,no_station
650,Kateta,UG20600202,no_station
651,Katete,UG41140106,G5317
652,Kathile,UG30750107,no_station
653,Kathile South,UG30750108,no_station
654,Katiira,UG20280205,G5220
655,Katikamu,UG10140203,no_station
656,Katikara,UG41120106,no_station
657,Katikekile,UG30860101,no_station
658,Katine,UG20620105,no_station
659,Katooke,UG41240107,G5189
660,Katooke Town Council,UG41240108,G5189
661,Katrini,UG30720303,no_station
662,Katuna Town Council,UG41090205,no_station
663,Katunguru,UG41310104,no_station
664,Katwe-Butego Division,UG10170201,no_station
665,Katwe Kabatoro Town Council,UG41150206,no_station
666,Kawempe Division,UG10080102,no_station
667,Kawolo Division,UG10010301,no_station
668,Kawowo,UG20450209,no_station
669,Kayonza,UG10100103,no_station
670,Kayonza,UG41140107,G5317
671,Kayonza,UG41290401,no_station
672,Kayunga,UG10100203,no_station
673,Kayunga Town Council,UG10100204,no_station
674,Kebisoni,UG41330203,G5317
675,Kebisoni Town Council,UG41330204,G5317
676,Kei,UG30990104,no_station
677,Keihangara,UG41070104,no_station
678,Kenshunga,UG41190103,no_station
679,Kerwa,UG30990105,no_station
680,Khabutoola,UG20520112,G5220
681,Kibaale,UG20570103,G5075
682,Kibaale Town Council,UG41170106,no_station
683,Kibale,UG20590101,G5075
684,Kibalinga,UG10200204,no_station
685,Kibanda,UG10240105,no_station
686,Kibatsi,UG41290104,no_station
687,Kibibi,UG10030105,no_station
688,Kibiga,UG10110105,G5160
689,Kibiito,UG41040105,no_station
690,Kibiito Town Council,UG41040106,no_station
691,Kibinge,UG10020104,no_station
692,Kiboga Town Council,UG10110106,G5160
693,Kibuku,UG20480109,G5075
694,Kibuku Town Council,UG20480110,G5075
695,Kibuuku Town Council,UG41280107,G5189
696,Kichwamba,UG41310105,no_station
697,Kicuzi,UG41070105,no_station
698,Kicwamba,UG41100109,no_station
699,Kidera,UG20380105,G5075
700,Kidetok Town Council,UG20600105,no_station
701,Kidongole,UG20320104,no_station
702,Kifamba,UG10240106,no_station
703,Kigambo,UG41230105,no_station
704,Kiganda,UG10090105,no_station
705,Kigandalo,UG20530108,no_station
706,Kigando,UG10200205,no_station
707,Kigaraale,UG41240109,G5189
708,Kigarama,UG41350104,no_station
709,Kigorobya,UG41060103,no_station
710,Kigorobya Town Council,UG41060104,no_station
711,Kigulya Division,UG41250303,no_station
712,Kigumba,UG41200102,no_station
713,Kigumba Town Council,UG41200103,no_station
714,Kigwera,UG41020105,no_station
715,Kihihi,UG41140108,G5317
716,Kihiihi Town Council,UG41140109,G5317
717,Kihungya,UG41020106,no_station
718,Kihuura,UG41240110,G5189
719,Kijangi,UG41120107,no_station
720,Kijomoro,UG30850101,no_station
721,Kijongo,UG41070106,no_station
722,Kijura Town Council,UG41100110,no_station
723,Kikaatsi,UG41190104,no_station
724,Kikagate,UG41080207,no_station
725,Kikamulo,UG10220104,G5160
726,Kikandwa,UG10180304,G5160
727,Kiko Town Council,UG41100111,no_station
728,Kikuube Town Council,UG41180105,G5227
729,Kikwaya,UG41120108,no_station
730,Kikyenkye,UG41070107,no_station
731,Kikyusa,UG10140104,no_station
732,Kilembe,UG41150207,no_station
733,Kimaanya-Kyabakuza Division,UG10170202,no_station
734,Kimengo,UG41250201,no_station
735,Kimenyedde,UG10210402,no_station
736,Kinaaba,UG41140110,G5317
737,Kinoni,UG10220105,G5160
738,Kinoni,UG41190105,no_station
739,Kinuuka,UG10160103,no_station
740,Kinyamasrke Town Council,UG41150105,no_station
741,Kinyogoga,UG10220106,G5160
742,Kira Division,UG10260302,G5160
743,Kirewa,UG20630302,G5075
744,Kirika,UG20480111,G5075
745,Kiriki,UG20500108,no_station
746,Kirima,UG41140111,G5317
