,name,placeCode,glofasStation
0,Abako,UG30670101,no_station
1,Abanga,UG31000101,no_station
2,Abarilela,UG20270101,G5196
3,Aber,UG30960101,no_station
4,Abia,UG30670102,no_station
5,Abim,UG30640101,G5196
6,Abim Town Council,UG30640102,G5196
7,Abindu Division,UG30910101,no_station
8,Abok,UG30960102,no_station
9,Aboke,UG30790101,no_station
10,Abongomola,UG30810101,no_station
11,Abuku,UG30780101,no_station
12,Acaba,UG30960103,no_station
13,Acholibur,UG30970101,no_station
14,Acowa,UG20460101,G5196
15,Adeknino,UG30730101,no_station
16,Adekokwok,UG30830101,no_station
17,Adilang,UG30660101,no_station
18,Adjumani Town Council,UG30650101,no_station
19,Adok,UG30730102,no_station
20,Adropi,UG30650102,no_station
21,Aduku,UG30810102,no_station
22,Aduku Town Council,UG30810103,no_station
23,Adumi,UG30720201,no_station
24,Adwari,UG30950101,no_station
25,Adyel Division,UG30830201,no_station
26,Agago Town Council,UG30660102,no_station
27,Agali,UG30830102,no_station
28,Agikdak,UG30680101,no_station
29,Agoro,UG30820101,no_station
30,Agule,UG20590201,G5075
31,Agulu Division,UG30710101,no_station
32,Agwata,UG30730103,no_station
33,Agweng,UG30830103,no_station
34,Agwingiri,UG30680102,no_station
35,Aii-Vu,UG30720301,no_station
36,Ajia,UG30720401,no_station
37,Akaa,UG31000102,no_station
38,Akalo,UG30790102,no_station
39,Akere Division,UG30710102,no_station
40,Akeriau,UG20270102,G5196
41,Akisim,UG20590202,G5075
42,Akokoro,UG30710201,no_station
43,Akoromit,UG20460102,G5196
44,Akura,UG30670103,no_station
45,Akwon,UG30680103,no_station
46,Akworo,UG30910201,no_station
47,Alangi,UG31000103,no_station
48,Alango,UG30950102,no_station
49,Alebtong Town Council,UG30670104,no_station
50,Aleka,UG30960104,no_station
51,Alerek,UG30640103,G5196
52,Alero,UG30920101,no_station
53,Alito,UG30790103,no_station
54,Aloi,UG30670105,no_station
55,Alwa,UG20410101,no_station
56,Alwi,UG30980101,no_station
57,Amach,UG30830104,no_station
58,Amolatar Town Council,UG30680104,no_station
59,Amudat,UG30690101,no_station
60,Amudat Town Council,UG30690102,no_station
61,Amugu,UG30670106,no_station
62,Amukol,UG20450201,no_station
63,Amuria Town Council,UG20270103,G5196
64,Amuru,UG30700101,no_station
65,Amuru Town Council,UG30700102,no_station
66,Amwoma,UG30730104,no_station
67,Anaka Payira,UG30920102,no_station
68,Anaka Town Council,UG30920103,no_station
69,Angagura,UG30970102,no_station
70,Apac,UG30710202,no_station
71,Apala,UG30670107,no_station
72,Apeduru,UG20270104,G5196
73,Aperkira,UG20410102,no_station
74,Apo,UG30990101,no_station
75,Apopong,UG20590203,G5075
76,Aputi,UG30680105,no_station
77,Arapai,UG20620101,no_station
78,Arinyapi,UG30650103,no_station
79,Arivu,UG30720402,no_station
80,Ariwa,UG30990102,no_station
81,Arocha Division,UG30710103,no_station
82,Aroi,UG30720202,no_station
83,Aromo,UG30830105,no_station
84,Arua Hill Division,UG30720101,no_station
85,Arum,UG30660103,no_station
86,Arwotcek,UG30680106,no_station
87,Asamuk,UG20270105,G5196
88,Asuret,UG20620102,no_station
89,Atanga,UG30970103,no_station
90,Atego,UG30910202,no_station
91,Athuma,UG31000104,no_station
92,Atiira,UG20600201,no_station
93,Atik Division,UG30710104,no_station
94,Attiak,UG30700103,no_station
95,Atutur,UG20490101,no_station
96,Atyak,UG31000105,no_station
97,Awach,UG30640104,G5196
98,Awach,UG30740101,no_station
99,Awei,UG30670108,no_station
100,Awelo,UG30680107,no_station
101,Awere,UG30970104,no_station
102,Ayer,UG30790104,no_station
103,Ayivuni,UG30720203,no_station
104,Bagezza,UG10200201,no_station
105,Baitambogwe,UG20530101,no_station
106,Bala,UG30790105,no_station
107,Balawoli,UG20440101,no_station
108,Bamunanika,UG10140101,no_station
109,Bananywa,UG10120110,G5160
110,Banda,UG10120111,G5160
111,Banda,UG20550101,G5230
112,Bar Dege Division,UG30740201,no_station
113,Barr,UG30830106,no_station
114,Batta,UG30730105,no_station
115,Bbaale,UG10100101,no_station
116,Bbanda,UG10180101,G5160
117,Benet,UG20500101,no_station
118,Bigasa,UG10020101,no_station
119,Biguli,UG41130101,no_station
120,Bihanga,UG41010101,no_station
121,Bihanga,UG41130102,no_station
122,Biharwe Division,UG41260101,no_station
123,Biiso,UG41020101,no_station
124,Bileafe,UG30720302,no_station
125,Binyiny,UG20500102,no_station
126,Binyiny Town Council,UG20500103,no_station
127,Birembo,UG41120101,no_station
128,Birere,UG41080201,no_station
129,Bisheshe Division,UG41070201,no_station
130,Bitereko,UG41270101,no_station
131,Bitooma,UG41050201,no_station
132,Bitsya,UG41010102,no_station
133,Bobi,UG30940101,no_station
134,Bombo Town Council,UG10140201,no_station
135,Bubaare,UG41260102,no_station
136,Bubaare,UG41300101,no_station
137,Bubandi,UG41030201,no_station
138,Bubango,UG41170101,no_station
139,Bubeke,UG10060201,no_station
140,Bubiita,UG20290101,G5220
